title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Tancz albo zdychaj,tt1737250,2010,Piotr Borowski,Male,Poland,superstar
4,tt2983082,2010,Jan Frycz,Male,Poland,narrator
Ida,tt2718492,2013,Agata Kulesza,Female,Poland,prosecutor
Floating Skyscrapers,tt2776106,2013,Mateusz Banasiuk,Male,Poland,swimmer
Bogowie,tt3745620,2014,Tomasz Kot,Male,Poland,career
Worst Case Scenario,tt3660684,2014,Eva Löbau,Female,Poland,designer
Performer,tt4012016,2015,Oskar Dawicki,Male,Poland,performer
Arena,tt3053782,2013,Marcin Kowalczyk,Male,Poland,rower
The Mother,tt2882264,2013,Danuta Stenka,Female,Poland,politician
Hitler w operze,tt4226872,2014,Redbad Klynstra,Male,Poland,singer
Dawno temu na Slasku,tt4627230,2015,Marcin Zacharzewski,Male,Poland,officer
Supernova,tt8939740,2015,Andrzej Wichrowski,Male,Poland,professor
Who Is Arvid Pekon?,tt2667444,2013,Andrzej Mastalerz,Male,Poland,operator
The Innocents,tt4370784,2016,Lou de Laâge,Female,Poland,doctor
Cold War,tt6543652,2018,Joanna Kulig,Female,Poland,composer
Spoor,tt5328350,2017,Agnieszka Mandat,Female,Poland,entomologist
Marie Curie: The Courage of Knowledge,tt5705058,2016,Karolina Gruszka,Female,Poland,physicist
Playing Hard,tt7419468,2018,Agata Kulesza,Female,Poland,prosecutor
Lullaby Killer,tt7135128,2017,Tomasz Schuchardt,Male,Poland,investigator
Bodo,tt6467658,2017,Tomasz Schuchardt,Male,Poland,career
Spitsbergen,tt6088882,2017,Magdalena Czerwinska,Female,Poland,paramedic
Opera About Poland,tt7514814,2017,Wojciech Kalarus,Male,Poland,traveler
Szamota's Mistress,tt7374538,2017,Marcin Sianko,Male,Poland,lawyer
Hello Earth,tt6766598,2017,Andrzej Blumenfeld,Male,Poland,narrator
Crucifixed,tt5635976,2016,Iwona Bielska,Female,Poland,teacher
For You,tt8392134,2018,Oliwia Nazimek,Male,Poland,career
Don't Haunt My Dreams,tt6984770,2017,Maciej Adamczyk,Male,Poland,surveyor
Teatroteka: Tajny klient,tt10066518,2016,Tomasz Borkowski,Male,Poland,customer
Im Rücken der Geschichte - Die verlorenen Dörfer von Masuren,tt11165668,2018,Oliver El-Fayoumy,Male,Poland,narrator
The Filmmakers - a prequel,tt9223056,2017,Cezary Studniak,Male,Poland,director
Jest naprawde ekstra,tt8665672,2017,Sandra Drzymalska,Female,Poland,musician
Corpus Christi,tt8649186,2019,Bartosz Bielenia,Male,Poland,vicar
All Our Fears,tt15062588,2021,Dawid Ogrodnik,Male,Poland,activist
Mój dlug,tt12988350,2022,Bartosz Sak,Male,Poland,entrepreneur
"Dark, Almost Night",tt7790894,2019,Magdalena Cielecka,Female,Poland,reporter
Alpha Male,tt15939910,2022,Miroslaw Haniszewski,Male,Poland,leader
Politics,tt7823906,2019,Iwona Bielska,Female,Poland,deputy
Kazdy ma swoje lato,tt13761172,2020,Nicolas Przygoda,Male,Poland,organist
Lokatorka,tt14315696,2021,Irena Melcer,Female,Poland,commissioner
The Case of Johanna Langefeld,tt9587752,2019,Lidia Bogacz,Male,Poland,lector
Pan Kleks. Wojna i milosc,tt16191160,2021,Piotr Fronczewski,Male,Poland,narrator
Ondine,tt10267408,2019,Bartosz Bielenia,Male,Poland,singer
Pustostan,tt10066596,2019,Agnieszka Podsiadlik,Female,Poland,resident
Recreational Activities,tt8997186,2019,Roman Gancarczyk,Male,Poland,mechanic
Flashlights,tt15488970,2021,Robert Kwilman,Male,Poland,actor
Marusarz. Tatrzanski orzel,tt17045592,2022,Mateusz Janicki,Male,Poland,jumper
Pokój,tt14831584,2021,Wojciech Solarz,Male,Poland,cosmonaut
VadeMecum,tt16101320,2021,Janusz Guttner,Male,Poland,narrator
Skansen,tt12326578,2020,Eliza Rycembel,Female,Poland,influencer
Licho nie spi,tt14837278,2020,Piotr Cyrwus,Male,Poland,narrator
Teatroteka: Holzwege,tt9898332,2019,Anna Próchniak,Female,Poland,actress
The Passenger,tt11945846,2019,Robert Sonek,Male,Poland,passenger
Teatroteka: Falowiec,tt9897470,2019,Janusz Chabior,Male,Poland,engineer
