title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Never Tell Me Never,tt0138652,1998,Claudia Karvan,Female,Australia,shepherd
Sarah and the Squirrel,tt0242851,1982,Mia Farrow,Female,Australia,narrator
BabaKiueria,tt0166032,1986,Michelle Torres,Female,Australia,presenter
Crosstalk,tt0083771,1982,Gary Day,Male,Australia,engineer
A Little Bit of Soul,tt0119546,1998,Geoffrey Rush,Male,Australia,treasurer
The Magic Portal,tt3844480,1989,Ingle Knight,Male,Australia,mate
King Solomon's Mines,tt0462384,1986,Tom Burlinson,Male,Australia,king
The Hunchback of Notre Dame,tt0787031,1986,Tom Burlinson,Male,Australia,dancer
La scomparsa di Azaria Chamberlain,tt0086580,1983,Elaine Hudson,Male,Australia,chamberlain
Cody: A Family Affair,tt0115139,1994,Gary Sweet,Male,Australia,detective
Everynight... Everynight,tt0109754,1994,David Field,Male,Australia,chant
Rajneesh: Spiritual Terrorist,tt3713510,1989,Ross Higgins,Male,Australia,narrator
The Good Woman of Bangkok,tt0104360,1991,Yagwalak Chonchanakun,Male,Australia,prostitute
Gallagher's Travels,tt0093068,1987,Ivar Kants,Male,Australia,photographer
Fragments of War: The Story of Damien Parer,tt0402193,1988,Nicholas Eadie,Male,Australia,photographer
Rainbow's End,tt0306000,1995,Rhona Rees,Female,Australia,seaman
The Battle of Broken Hill,tt1163196,1981,Michael Pate,Male,Australia,narrator
Cody: The Wrong Stuff,tt0284004,1998,Gary Sweet,Male,Australia,dealer
Patience,tt0187392,1995,Christine Douglas,Male,Australia,poet
Moulin Rouge!,tt0203009,2001,Nicole Kidman,Female,Australia,proprietor
Rogue,tt0479528,2007,Radha Mitchell,Female,Australia,researcher
Rumor Has It...,tt0398375,2005,Jennifer Aniston,Female,Australia,writer
Two Weeks Notice,tt0313737,2002,Sandra Bullock,Female,Australia,lawyer
The Invasion,tt0427392,2007,Nicole Kidman,Female,Australia,psychiatrist
Candy,tt0424880,2006,Abbie Cornish,Female,Australia,poet
The Loved Ones,tt1316536,2009,Xavier Samuel,Male,Australia,officer
Beautiful Kate,tt1209377,2009,Ben Mendelsohn,Male,Australia,writer
Bright Star,tt0810784,2009,Abbie Cornish,Female,Australia,poet
