title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Black Tights,tt0053726,1961,Maurice Chevalier,Male,France,narrator
House of 1000 Pleasures,tt0069892,1974,Philippe Gasté,Male,France,driver
Dead Times,tt0294959,1965,Roland Dubillard,Male,France,narrator
Secret Agent FX18,tt0059435,1964,Jeanne Moreau,Female,France,dancer
All About Loving,tt0059089,1964,Anna Karina,Female,France,dentist
Der Zug zur Hölle,tt0061112,1965,Jean Marais,Male,France,agent
Who Cares: Anatomy of a Delivery Boy,tt0066854,1971,Marie Dubois,Female,France,worker
Irma Vep,tt0116650,1996,Maggie Cheung,Female,France,actress
The Lover,tt0101316,1992,Jeanne Moreau,Female,France,narrator
Possession,tt0082933,1981,Isabelle Adjani,Female,France,spy
La Haine,tt0113247,1995,Vincent Cassel,Male,France,driver
Betty Blue,tt0090563,1986,Jean-Hugues Anglade,Male,France,writer
"The Cook, the Thief, His Wife & Her Lover",tt0097108,1989,Richard Bohringer,Male,France,restaurant
The Big Blue,tt0095250,1988,Rosanna Arquette,Female,France,baker
Nikita,tt0100263,1990,Anne Parillaud,Female,France,restaurant
Three Colors: Blue,tt0108394,1993,Juliette Binoche,Female,France,composer
Tender Cousins,tt0081614,1980,Thierry Tevini,Male,France,professor
Three Colors: Red,tt0111495,1994,Irène Jacob,Female,France,model
The Double Life of Véronique,tt0101765,1991,Irène Jacob,Female,France,director
The Lost Son,tt0144286,1999,Daniel Auteuil,Male,France,call girl
Orlando,tt0107756,1992,Tilda Swinton,Female,France,queen
The Apartment,tt0115561,1996,Romane Bohringer,Female,France,actress
Madeline,tt0123987,1998,Frances McDormand,Female,France,chef
The Pillow Book,tt0114134,1996,Vivian Wu,Female,France,model
Queen Margot,tt0110963,1994,Isabelle Adjani,Female,France,queen
Cyrano de Bergerac,tt0099334,1990,Gérard Depardieu,Male,France,poet
Green Card,tt0099699,1990,Gérard Depardieu,Male,France,waiter
Beau travail,tt0209933,1999,Denis Lavant,Male,France,soldier
Gandahar,tt0095525,1987,Pierre-Marie Escourrou,Male,France,leader
Hail Mary,tt0089366,1985,Myriem Roussel,Female,France,driver
Le Dîner de Cons,tt0119038,1998,Thierry Lhermitte,Male,France,publisher
Summer,tt0091830,1986,Marie Rivière,Female,France,companion
À Nos Amours,tt0086650,1983,Sandrine Bonnaire,Female,France,furrier
Rosetta,tt0200071,1999,Émilie Dequenne,Female,France,manager
The Hairdresser's Husband,tt0100112,1990,Jean Rochefort,Male,France,hairdresser
La Cérémonie,tt0112769,1995,Isabelle Huppert,Female,France,maid
Boyfriends and Girlfriends,tt0092550,1987,Emmanuelle Chaulet,Female,France,clerk
My American Uncle,tt0081176,1980,Gérard Depardieu,Male,France,executive
Un Coeur en Hiver,tt0105682,1992,Daniel Auteuil,Male,France,restorer
Hideous Kinky,tt0136244,1998,Kate Winslet,Female,France,master
Camille Claudel,tt0094828,1988,Isabelle Adjani,Female,France,sculptor
Danton,tt0083789,1983,Gérard Depardieu,Male,France,barber
The Masters of Time,tt0084315,1982,Jean Valmont,Male,France,commander
Four Adventures of Reinette and Mirabelle,tt0090565,1987,Joëlle Miquel,Female,France,dealer
A Tale of Springtime,tt0097106,1990,Anne Teyssèdre,Female,France,philosophy teacher
Emmanuelle 5,tt0092962,1987,Monique Gabrielle,Female,France,producer
A Pure Formality,tt0110917,1994,Gérard Depardieu,Male,France,writer
The Story of O 2,tt0087412,1984,Sandra Wey,Female,France,industrialist
Rendez-vous,tt0089902,1985,Lambert Wilson,Male,France,actor
Story of Women,tt0096336,1988,Isabelle Huppert,Female,France,singer
The Barber of Siberia,tt0120125,1998,Julia Ormond,Female,France,cadet
Boy Meets Girl,tt0086994,1984,Denis Lavant,Male,France,filmmaker
Nelly & Monsieur Arnaud,tt0113947,1995,Emmanuelle Béart,Female,France,editor
Confidentially Yours,tt0086551,1983,Fanny Ardant,Female,France,secretary
Full Moon in Paris,tt0087821,1984,Pascale Ogier,Female,France,decorator
Under the Sun of Satan,tt0094011,1987,Gérard Depardieu,Male,France,career
Passion,tt0084481,1982,Isabelle Huppert,Female,France,worker
Harem Suare,tt0179841,1999,Marie Gillain,Female,France,guard
Love Rites,tt0094932,1987,Marina Pierro,Female,France,buyer
A Tale of Winter,tt0104008,1992,Charlotte Véry,Female,France,cook
Charlotte for Ever,tt0090815,1986,Charlotte Gainsbourg,Female,France,responsible
Quartet,tt0082964,1981,Isabelle Adjani,Female,France,dealer
Women's Prison Massacre,tt0085250,1983,Laura Gemser,Female,France,sheriff
Autumn Tale,tt0137439,1998,Marie Rivière,Female,France,professor
Don Juan,tt0123808,1998,Jacques Weber,Male,France,valet
The Family,tt0093004,1987,Emanuele Lamaro,Male,France,teacher
Ace of Aces,tt0083580,1982,Jean-Paul Belmondo,Male,France,fighter
Carmen,tt0087034,1984,Julia Migenes,Female,France,soldier
Baby Blood,tt0096871,1990,Emmanuelle Escourrou,Female,France,performer
Franck Spadone,tt0166199,1999,Stanislas Merhar,Male,France,stripper
Bolero,tt0083260,1981,Robert Hossein,Male,France,pianist
Children of the Century,tt0177746,1999,Juliette Binoche,Female,France,poet
Marquise,tt0119623,1997,Sophie Marceau,Female,France,itinerant
Artemisia,tt0123385,1997,Michel Serrault,Male,France,painter
Deadly Games,tt0096741,1989,Brigitte Fossey,Female,France,driver
Un air de famille,tt0118015,1996,Jean-Pierre Bacri,Male,France,executive
Three Men and a Cradle,tt0090206,1985,Roland Giraud,Male,France,steward
He Died with His Eyes Open,tt0089726,1985,Michel Serrault,Male,France,inspector
North,tt0102552,1991,Xavier Beauvois,Male,France,pharmacist
I Can't Sleep,tt0110171,1994,Yekaterina Golubeva,Female,France,actor
Fögi Is a Bastard,tt0166604,1998,Frédéric Andrau,Male,France,singer
Fear City: A Family-Style Comedy,tt0109440,1994,Chantal Lauby,Female,France,journalist
A Sunday in the Country,tt0088318,1984,Louis Ducreux,Male,France,painter
Set Me Free,tt0148103,1999,Karine Vanasse,Female,France,writer
Santa Claus Is a Stinker,tt0084555,1982,Anémone,Female,France,volunteer
A Couch in New York,tt0118018,1996,Juliette Binoche,Female,France,dancer
Entre Nous,tt0085370,1983,Miou-Miou,Female,France,teacher
A Man and Two Women,tt0103154,1991,Valérie Stroh,Female,France,writer
The Miser,tt0078813,1980,Louis de Funès,Male,France,master
Tom et Lola,tt0098488,1990,Cécile Magnet,Female,France,railway worker
Fanfan,tt0106866,1993,Sophie Marceau,Female,France,perfumer
The Swindle,tt0120018,1997,Isabelle Huppert,Female,France,treasurer
Golden Eighties,tt0092219,1986,Delphine Seyrig,Female,France,customer
Children of the Stork,tt0211445,1999,Romain Duris,Male,France,hairdresser
Roselyne and the Lions,tt0098226,1989,Isabelle Pasco,Female,France,apprentice
Alice and Martin,tt0176422,1998,Juliette Binoche,Female,France,actor
A French Woman,tt0114790,1995,Emmanuelle Béart,Female,France,officer
Emmanuelle's Magic,tt0104183,1993,Marcela Walerstein,Female,France,sculptor
The Chambermaid on the Titanic,tt0129923,1997,Olivier Martinez,Male,France,worker
"Rosa la rose, fille publique",tt0089935,1986,Marianne Basler,Female,France,prostitute
The School of Flesh,tt0157208,1998,Isabelle Huppert,Female,France,executive
Three Crowns of the Sailor,tt0084824,1983,Jean-Bernard Guillard,Male,France,sailor
I Don't Kiss,tt0102136,1991,Philippe Noiret,Male,France,intellectual
Masks,tt0093505,1987,Philippe Noiret,Male,France,reporter
Mauvais genre,tt0119633,1997,Jacques Gamblin,Male,France,novelist
Colonel Chabert,tt0109454,1994,Gérard Depardieu,Male,France,examiner
Hôtel des Amériques,tt0082539,1981,Catherine Deneuve,Female,France,anesthetist
Life and Nothing But,tt0098596,1989,Philippe Noiret,Male,France,commandant
Derborence,tt0089014,1985,Isabel Otero,Female,France,shepherd
An Unforgettable Summer,tt0111546,1994,Kristin Scott Thomas,Female,France,officer
The Lady Banker,tt0080415,1980,Romy Schneider,Female,France,banker
Le coeur à l'envers,tt0202300,1980,Annie Girardot,Female,France,psychologist
The Other,tt0196355,1999,Hanan Turk,Female,France,journalist
Le Guignolo,tt0079252,1980,Jean-Paul Belmondo,Male,France,artist
Antonieta,tt0083567,1982,Isabelle Adjani,Female,France,writer
The Bridge,tt0191610,1999,Carole Bouquet,Female,France,manager
Human Resources,tt0220726,1999,Jalil Lespert,Male,France,trainee
Notre-Dame de Paris,tt0285800,1998,Hélène Ségara,Female,France,dancer
Garage Olimpo,tt0201631,1999,Antonella Costa,Female,France,activist
Wild Target,tt0106573,1993,Jean Rochefort,Male,France,hitman
