Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
Tonic Dominant,Brazil,2000,Fernando Alves Pinto,Male,clarinetist
Xuxinha and Guto Against the Space Monsters,Brazil,2005,Xuxa,Female,narrator
Favorite Son,Brazil,2001,Ornella Muti,Female,doctor
Two Lost in a Dirty Night,Brazil,2002,Débora Falabella,Female,prostitute
O Ovo,Brazil,2003,Maria Bethânia,Female,narrator
Confessions of a Brazilian Call Girl,Brazil,2011,Deborah Secco,Female,call girl
Rat Fever,Brazil,2011,Irandhir Santos,Male,poet
The Strange Case of Angelica,Brazil,2010,Pilar López de Ayala,Female,photographer
Astral City: A Spiritual Journey,Brazil,2010,Renato Prieto,Male,doctor
"Boa Sorte, Meu Amor",Brazil,2012,Christiana Ubach,Female,musician
Romance Policial,Brazil,2012,Daniel de Oliveira,Male,civil servant
The Way He Looks,Brazil,2014,Ghilherme Lobo,Male,guide
The Second Mother,Brazil,2015,Regina Casé,Female,caretaker
Neon Bull,Brazil,2015,Juliano Cazarré,Male,tailor
Reaching for the Moon,Brazil,2013,Miranda Otto,Female,poet
Rio 2096: A Story of Love and Fury,Brazil,2013,Selton Mello,Male,warrior
The Augusta Street Ripper,Brazil,2014,Monica Mattos,Female,prostitute
Aquarius,Brazil,2016,Sônia Braga,Female,writer
Good Manners,Brazil,2017,Isabél Zuaa,Female,nanny
Nothing to Lose,Brazil,2018,Petrônio Gontijo,Male,founder
Bingo: The King of the Mornings,Brazil,2017,Vladimir Brichta,Male,king
Under Pressure,Brazil,2016,Júlio Andrade,Male,doctor
Long Way Home,Brazil,2018,Grace Passô,Female,employee
Executive Order,Brazil,2020,Alfred Enoch,Male,lawyer
The Book of Delights,Brazil,2020,Simone Spoladore,Female,elementary school teacher
Jesus Kid,Brazil,2021,Paulo Miklos,Male,writer
Kardec,Brazil,2019,Leonardo Medeiros,Male,educator
Ophelia's Death,Brazil,2019,Bruna Marquezine,Female,photographer
Me Tira da Mira,Brazil,2022,Bruna Ciocca,Male,therapist
Black Christmas,Canada,1974,Olivia Hussey,Female,caller
Crimes of the Future,Canada,1970,Ronald Mlodzik,Male,director
The Story of O,Canada,1975,Corinne Cléry,Female,photographer
Rabid,Canada,1977,Marilyn Chambers,Female,doctor
The Incredible Journey,Canada,1963,Émile Genest,Male,bachelor
"Ilsa, Harem Keeper of the Oil Sheiks",Canada,1976,Dyanne Thorne,Female,dancer
The Trap,Canada,1966,Rita Tushingham,Female,consumer
Bear Island,Canada,1979,Donald Sutherland,Male,biologist
Les liens de sang,Canada,1978,Donald Sutherland,Male,detective
The Pyx,Canada,1973,Karen Black,Female,prostitute
Eliza's Horoscope,Canada,1975,Elizabeth Moorman,Male,astrologer
Outrageous!,Canada,1977,Craig Russell,Male,turner
Transfer,Canada,1966,Rafe Macpherson,Male,doctor
"Nikki, Wild Dog of the North",Canada,1961,Jean Coutu,Male,master
Winter Kept Us Warm,Canada,1965,John Labow,Male,senior
Something's Rotten,Canada,1979,Charlotte Blunt,Female,queen
Taxi!!,Canada,1978,Eva Marie Saint,Female,passenger
Madeleine Is...,Canada,1971,Nicola Lipman,Female,artist
A Sweeter Song,Canada,1976,Jim Henshaw,Male,photographer
The Peep Show,Canada,1962,Stanley Jackson,Male,narrator
Slow Run,Canada,1968,Saul Rubinek,Male,narrator
The Hard Part Begins,Canada,1973,Donnelly Rhodes,Male,king
The Owl and the Lemming: An Eskimo Legend,Canada,1971,Julie Wildman,Male,narrator
What on Earth!,Canada,1967,Donald Brittain,Male,narrator
Orson Welles: The Paris Interview,Canada,1960,Bernard Braden,Male,interviewer
A Fight for Breath: Emphysema,Canada,1974,Budd Knapp,Male,narrator
The Accused,Canada,1988,Kelly McGillis,Female,deputy
Exotica,Canada,1994,Bruce Greenwood,Male,auditor
eXistenZ,Canada,1999,Jennifer Jason Leigh,Female,designer
Cube,Canada,1997,Nicole de Boer,Female,officer
Bride of Chucky,Canada,1998,Jennifer Tilly,Female,officer
Friday the 13th Part VIII: Jason Takes Manhattan,Canada,1989,Jensen Daggett,Female,queen
Happy Birthday to Me,Canada,1981,Melissa Sue Anderson,Female,wainwright
Popcorn,Canada,1991,Jill Schoelen,Female,butler
The Clan of the Cave Bear,Canada,1986,Daryl Hannah,Female,mate
The Grifters,Canada,1990,Anjelica Huston,Female,artist
When Night Is Falling,Canada,1995,Pascale Bussières,Female,baker
Curtains,Canada,1983,John Vernon,Male,actress
Canadian Bacon,Canada,1995,John Candy,Male,sheriff
Bad Moon,Canada,1996,Mariel Hemingway,Female,salesman
Trailer Park Boys,Canada,1999,John Paul Tremblay,Male,teller
Speed Zone,Canada,1989,John Candy,Male,valet
Night of the Twisters,Canada,1996,Devon Sawa,Male,artist
The Peanut Butter Solution,Canada,1985,Mathew Mackay,Male,teacher
Black Robe,Canada,1991,Lothaire Bluteau,Male,founder
Pin,Canada,1988,David Hewlett,Male,doctor
Agnes of God,Canada,1985,Jane Fonda,Female,doctor
When a Stranger Calls Back,Canada,1993,Carol Kane,Female,counselor
Tanya's Island,Canada,1980,Vanity,Female,painter
If You Could See What I Hear,Canada,1982,Marc Singer,Male,musician
Model by Day,Canada,1994,Famke Janssen,Female,fighter
The Vindicator,Canada,1986,David McIlwraith,Male,scientist
Ticket to Heaven,Canada,1981,Nick Mancuso,Male,leader
Joy,Canada,1983,Claudia Udy,Female,agent
Universal Soldier III: Unfinished Business,Canada,1998,Richard McMillan,Male,doctor
Spring Fever,Canada,1982,Susan Anton,Female,showgirl
Thirty Two Short Films About Glenn Gould,Canada,1993,Colm Feore,Male,pianist
Crazy Moon,Canada,1987,Kiefer Sutherland,Male,clerk
The Blood of Others,Canada,1984,Jodie Foster,Female,designer
Nowhere to Hide,Canada,1987,Amy Madigan,Female,cutter
Blue Planet,Canada,1990,James Buchli,Male,narrator
Martyrs,Canada,2008,Morjana Alaoui,Female,assistant
Orphan,Canada,2009,Vera Farmiga,Female,therapist
She's the Man,Canada,2006,Amanda Bynes,Female,player
Camp Hollywood,Canada,2004,Steve Markle,Male,filmmaker
Resident Evil: Apocalypse,Canada,2004,Milla Jovovich,Female,activist
Just Friends,Canada,2005,Ryan Reynolds,Male,senior
The Day the Earth Stood Still,Canada,2008,Keanu Reeves,Male,mountaineer
Shattered Glass,Canada,2003,Hayden Christensen,Male,editor
Elektra,Canada,2005,Jennifer Garner,Female,master
Gothika,Canada,2003,Halle Berry,Female,psychiatrist
I'm Not There,Canada,2007,Cate Blanchett,Female,poet
Josie and the Pussycats,Canada,2001,Rachael Leigh Cook,Female,guitarist
Postal,Canada,2007,Zack Ward,Male,barista
The Skulls,Canada,2000,Joshua Jackson,Male,lawyer
Away from Her,Canada,2006,Gordon Pinsent,Male,professor
Peter Pan 2: Return to Never Land,Canada,2002,Harriet Owen,Female,tinker
Polytechnique,Canada,2009,Maxim Gaudette,Male,lecturer
The Color of Friendship,Canada,2000,Lindsey Haun,Female,manor
Fubar,Canada,2002,Paul Spence,Male,director
Jesus Christ Vampire Hunter,Canada,2001,Phil Caracas,Male,hunter
Sucker Punch,Canada,2011,Emily Browning,Female,psychiatrist
The Woman in Black,Canada,2012,Emma Shorey,Male,fisher
The Vow,Canada,2012,Rachel McAdams,Female,doctor
Tucker and Dale vs Evil,Canada,2010,Tyler Labine,Male,sheriff
The Whistleblower,Canada,2010,Rachel Weisz,Female,officer
Citizen Gangster,Canada,2011,Scott Speedman,Male,driver
Interstellar,Canada,2014,Ellen Burstyn,Female,farmer
The Witch,Canada,2015,Anya Taylor-Joy,Female,responsible
How I Live Now,Canada,2013,Saoirse Ronan,Female,penn
American Heist,Canada,2014,Hayden Christensen,Male,dispatcher
Turbo Kid,Canada,2015,Munro Chambers,Male,dealer
Afflicted,Canada,2013,Derek Lee,Male,restaurant
Blade Runner 2049,Canada,2017,Ryan Gosling,Male,runner
The Boy,Canada,2016,Lauren Cohan,Female,nanny
Molly's Game,Canada,2017,Jessica Chastain,Female,skier
Incident in a Ghostland,Canada,2018,Crystal Reed,Female,author
Siberia,Canada,2018,Keanu Reeves,Male,merchant
ARQ,Canada,2016,Robbie Amell,Male,leader
House of Gucci,Canada,2021,Lady Gaga,Female,office manager
Brahms: The Boy II,Canada,2020,Katie Holmes,Female,therapist
Alita: Battle Angel,Canada,2019,Rosa Salazar,Female,superstar
Pokémon: Detective Pikachu,Canada,2019,Ryan Reynolds,Male,detective
