Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
Under the Tuscan Sun,Italy,2003,Diane Lane,Female,writer
Monamour,Italy,2005,Anna Jimskaia,Female,publisher
Eros,Italy,2004,Gong Li,Female,assistant
Pinocchio,Italy,2002,Roberto Benigni,Male,carver
The Unknown Woman,Italy,2006,Kseniya Rappoport,Female,prostitute
Il Divo,Italy,2008,Toni Servillo,Male,politician
The Ignorant Fairies,Italy,2001,Margherita Buy,Female,doctor
Nora,Italy,2000,Susan Lynch,Female,maid
The Tiger and the Snow,Italy,2005,Roberto Benigni,Male,writer
The Double Hour,Italy,2009,Kseniya Rappoport,Female,maid
Callas Forever,Italy,2002,Fanny Ardant,Female,singer
My Brother is an Only Child,Italy,2007,Elio Germano,Male,trader
Fine settimana a Lecco,Italy,2000,Tinto Brass,Male,presenter
Maria Montessori: una vita per i bambini,Italy,2007,Paola Cortellesi,Female,pedagogue
The Caiman,Italy,2006,Silvio Orlando,Male,producer
Fort Apache Napoli,Italy,2009,Libero De Rienzo,Male,journalist
Red Riding Hood,Italy,2003,Kathleen Archebald,Male,actress
Light of My Eyes,Italy,2001,Luigi Lo Cascio,Male,driver
Eyes of Crystal,Italy,2004,Luigi Lo Cascio,Male,inspector
Love Is All You Need,Italy,2012,Trine Dyrholm,Female,hairdresser
Drifters,Italy,2011,Andrea Bosca,Male,graphologist
Reality,Italy,2012,Aniello Arena,Male,fishmonger
A Quiet Life,Italy,2010,Toni Servillo,Male,restaurant
Islands,Italy,2011,Asia Argento,Female,tutor
The First Assignment,Italy,2010,Isabella Ragonese,Female,teacher
The Great Beauty,Italy,2013,Toni Servillo,Male,critic
A Bigger Splash,Italy,2015,Tilda Swinton,Female,filmmaker
Banat: The Journey,Italy,2015,Edoardo Gabbriellini,Male,agronomist
The Mafia Kills Only in Summer,Italy,2013,Cristiana Capotondi,Female,journalist
The Invisible Boy,Italy,2014,Ludovico Girardello,Male,leader
Do You See Me?,Italy,2014,Paola Cortellesi,Female,architect
Dogman,Italy,2018,Marcello Fonte,Male,driver
Voice from the Stone,Italy,2017,Emilia Clarke,Female,maid
The Place,Italy,2017,Valerio Mastandrea,Male,restaurant
Quo vado?,Italy,2016,Checco Zalone,Male,servant
Capri-Revolution,Italy,2018,Marianna Fontana,Female,goatherd
The Silence,Italy,2016,Valentina Carnelutti,Female,doctor
Dark Glasses,Italy,2022,Ilenia Pastorelli,Female,guide
Pinocchio,Italy,2019,Federico Ielapi,Male,woodcarver
A Chiara,Italy,2021,Swamy Rotolo,Female,social worker
The Hole,Italy,2021,Claudia Candusso,Male,speleologist
Esterno notte,Italy,2022,Fabrizio Gifuni,Male,minister
Ultras,Italy,2020,Aniello Arena,Male,leader
The Staggering Girl,Italy,2019,Julianne Moore,Female,writer
Regina,Italy,2020,Ginevra Francesconi,Female,singer
In the Realm of the Senses,Japan,1976,Tatsuya Fuji,Male,"['Kichizo Ishida', 'Kichizo Ishida']"
Hara-Kiri,Japan,1962,Tatsuya Nakadai,Male,"['Hanshiro Tsugumo', 'Hanshiro Tsugumo']"
House,Japan,1977,Kimiko Ikegami,Female,"['Gorgeous / Gorgeous’ Mother', ""Oshare / Gorgeous / Oshare's Mother""]"
Woman in the Dunes,Japan,1964,Eiji Okada,Male,"['Entomologist Niki Jumpei', 'Entomologist Niki Jumpei']"
Belladonna of Sadness,Japan,1973,Aiko Nagayama,Female,"['Jeanne / Belladonna', 'Jeanne / Belladonna']"
A Haunted Turkish Bathhouse,Japan,1975,Naomi Tani,Female,"['Yukino (Bath-house Girl)', 'Yukino']"
Lupin III: The Castle of Cagliostro,Japan,1979,Yasuo Yamada,Male,"['Arsene Lupin III (voice)', 'Arsène Lupin III']"
Kwaidan,Japan,1964,Michiyo Aratama,Female,"['First wife (segment ""Kurokami"")', 'First wife']"
Female Prisoner #701: Scorpion,Japan,1972,Meiko Kaji,Female,"['Nami Matsushima (Sasori)', 'Nami Matsushima']"
Cleopatra,Japan,1970,Chinatsu Nakayama,Male,"['Cleopatra (voice)', 'Cleopatra']"
Blind Beast,Japan,1969,Eiji Funakoshi,Male,"['Michio', 'Michio / sculpter']"
Shogun's Joy of Torture,Japan,1968,Teruo Yoshida,Male,"['', ""Shinzô / Mitsu's brother / Yoshioka""]"
The Face of Another,Japan,1966,Tatsuya Nakadai,Male,"['Mr. Okuyama', 'Mr. Okuyama']"
Bullet Train,Japan,1975,Ken Takakura,Male,"['Tetsuo Okita', 'Tetsuo Okita']"
Pastoral: To Die in the Country,Japan,1974,Kaoru Yachigusa,Female,"['', '']"
A Thousand & One Nights,Japan,1969,Sachiko Itô,Female,"['Mahdia', 'Madhya']"
The Human Condition III: A Soldier's Prayer,Japan,1961,Tatsuya Nakadai,Male,"['Kaji', 'Kaji']"
Godzilla vs. Megalon,Japan,1973,Katsuhiko Sasaki,Male,"['Inventor Goro Ibuki', 'Inventor Goro Ibuki']"
Jigoku,Japan,1960,Shigeru Amachi,Male,"['Shirô Shimizu', 'Shirô Shimizu']"
Irezumi,Japan,1966,Ayako Wakao,Female,"['Otsuya', 'Otsuya']"
Godzilla vs. Mechagodzilla,Japan,1974,Masaaki Daimon,Male,"['Keisuke Shimizu', 'Keisuke Shimizu']"
Empire of Passion,Japan,1978,Tatsuya Fuji,Male,"['Toyoji', ""Toyoji / Seki's lover""]"
Late Autumn,Japan,1960,Setsuko Hara,Female,"['Akiko Miwa', 'Akiko Miwa']"
None But the Brave,Japan,1965,Tatsuya Mihashi,Male,"['Lt. Kuroki', 'Lt. Kuroki']"
Atragon,Japan,1963,Tadao Takashima,Male,"['Tasumo Hatanaka', 'Commercial Photographer Susumu Hatanaka']"
Godzilla vs. Hedorah,Japan,1971,Akira Yamanouchi,Male,"['Dr. Yano', 'Dr. Toru Yano']"
Son of Godzilla,Japan,1967,Tadao Takashima,Male,"['Dr. Kusumi', 'Dr. Kusumi']"
Blind Woman's Curse,Japan,1970,Meiko Kaji,Female,"['Akemi Tachibana', 'Akemi Tachibana']"
Godzilla vs. Gigan,Japan,1972,Hiroshi Ishikawa,Male,"['Gengo Odaka', 'Gengo Kotaka']"
Sex Family,Japan,1971,Tamaki Katori,Female,"['', 'Etsu / mother']"
Rape!,Japan,1976,Natsuko Yashiro,Female,"['', 'Natsuko Yashiro']"
The Snow Woman,Japan,1968,Shiho Fujimura,Female,"['Yukionna', 'Yuki / Yukionna']"
Skin of Roses,Japan,1978,Naomi Tani,Female,"['Ritsuko Terada(寺田律子)', 'Ritsuko Terada']"
Galaxy Express 999,Japan,1979,Masako Nozawa,Female,"['Tetsurô Hoshino (voice)', 'Tetsurô Hoshino']"
The Yellow Handkerchief,Japan,1977,Ken Takakura,Male,"['Yusaku Shima', 'Yûsaku Shima']"
Zero Focus,Japan,1961,Yoshiko Kuga,Female,"['Teiko Uhara', 'Teiko Uhara']"
Being Two Isn't Easy,Japan,1962,Fujiko Yamamoto,Female,"['Chiyo', 'Chiyo']"
Izu no odoriko,Japan,1963,Sayuri Yoshinaga,Female,"['', 'Kaoru, dancer / Student']"
The Affair,Japan,1967,Mariko Okada,Female,"['Oriko', 'Oriko']"
Seisaku's Wife,Japan,1965,Ayako Wakao,Female,"['Okane', 'Okane']"
Grave of the Fireflies,Japan,1988,Tsutomu Tatsumi,Male,"['', 'Seita']"
Audition,Japan,1999,Ryo Ishibashi,Male,"['Shigeharu Aoyama', 'Shigeharu Aoyama']"
Perfect Blue,Japan,1997,Junko Iwao,Female,"['Mima Kirigoe (voice)', 'Mima Kirigoe']"
My Neighbor Totoro,Japan,1988,Noriko Hidaka,Female,"['Satsuki (voice)', 'Satsuki']"
Ran,Japan,1985,Tatsuya Nakadai,Male,"['Lord Hidetora Ichimonji', 'Lord Hidetora Ichimonji']"
Ghost in the Shell,Japan,1995,Atsuko Tanaka,Female,"['Motoko Kusanagi (voice)', 'Kusanagi Motoko']"
Kiki's Delivery Service,Japan,1989,Minami Takayama,Female,"['Kiki / Ursula (voice)', 'Kiki / Ursula']"
Castle in the Sky,Japan,1986,Mayumi Tanaka,Female,"['Pazu (voice)', 'Pazu']"
Nausicaä of the Valley of the Wind,Japan,1984,Sumi Shimamoto,Female,"['Nausicaä (voice)', 'Nausicaä']"
Tetsuo: The Iron Man,Japan,1989,Tomorô Taguchi,Male,"['', 'Man']"
Ringu,Japan,1998,Nanako Matsushima,Female,"['Reiko Asakawa', 'Reiko Asakawa']"
964 Pinocchio,Japan,1991,Haji Suzuki,Male,"['Pinocchio 964', 'Pinocchio 964']"
Dreams,Japan,1990,Akira Terao,Male,"['I', 'I']"
Only Yesterday,Japan,1991,Miki Imai,Female,"['Taeko Okajima (voice)', 'Taeko']"
Kagemusha,Japan,1980,Tatsuya Nakadai,Male,"['Shingen Takeda / Kagemusha', 'Shingen Takeda / Kagemusha']"
Midori,Japan,1992,Minako Naka,Male,"['Midori (voice)', 'Midori']"
Tokyo Decadence,Japan,1992,Miho Nikaido,Female,"['Ai', 'Ai']"
Ocean Waves,Japan,1993,Nobuo Tobita,Male,"['Taku Morisaki (voice)', 'Taku Morisaki']"
Fireworks,Japan,1997,Takeshi Kitano,Male,"['Yoshitaka Nishi', 'Yoshitaka Nishi']"
Pokémon the Movie 2000,Japan,1999,Rica Matsumoto,Female,"['Satoshi (voice)', 'Satoshi']"
After Life,Japan,1998,Arata Iura,Male,"['Takashi Mochizuki', 'Takashi Mochizuki, counselor']"
Fist of the North Star,Japan,1986,Akira Kamiya,Male,"['Kenshirô', 'Kenshiro']"
The Ballad of Narayama,Japan,1983,Ken Ogata,Male,"['Tatsuhei', 'Tatsuhei']"
The Return of Godzilla,Japan,1984,Keiju Kobayashi,Male,"['Prime Minister Seiki Mitamura', 'Prime Minster Seiki Mitamura']"
Neo Tokyo,Japan,1987,Hideko Yoshida,Female,"['Shôjo Sachi (segment ""Labyrinth*labyrinthos"")', 'Shôjo Sachi']"
Hachi-ko,Japan,1987,Tatsuya Nakadai,Male,"['Shujiro Ueno', 'Shujiro Ueno']"
Godzilla vs. SpaceGodzilla,Japan,1994,Jun Hashizume,Male,"['Lt. Koji Shinjo', 'Lt. Koji Shinjo']"
Why Not?,Japan,1981,Kaori Momoi,Female,"['Ine', 'Ine']"
Gamera: Guardian of the Universe,Japan,1995,Tsuyoshi Ihara,Male,"['Yoshinari Yonemori', 'Yoshinari Yonemori']"
Rubber's Lover,Japan,1996,Nao,Female,"['Kiku Onoda', 'Kiku']"
Dragon Ball Z: The World's Strongest,Japan,1990,Masako Nozawa,Female,"['Son Gokû / Son Gohan (voice)', 'Son Gokû / Son Gohan']"
Sailor Moon R: The Movie: The Promise of the Rose,Japan,1993,Kotono Mitsuishi,Female,"['Usagi Tsukino / Sailor Moon (voice)', 'Usagi Tsukino / Sailor Moon / Young Usagi']"
Kids Return,Japan,1996,Ken Kaneko,Male,"['Masaru', 'Masaru']"
Pink Curtain,Japan,1982,Jun Miho,Female,"['Noriko(野理子)', 'Noriko / Sister']"
Afternoon Breezes,Japan,1980,Setsuko Aya,Female,"['Natsuko', 'Natsuko']"
Ruff Trade,Japan,1985,Chiemi Akimoto,Female,"['Yoshimi', '']"
Dragon Ball Z: Bio-Broly,Japan,1994,Masako Nozawa,Female,"['Son Goten / Son Gokû (voice)', 'Son Goten / Son Gokû']"
Muddy River,Japan,1981,Takahiro Tamura,Male,"['Shinpei Itakura', 'Shinpei Itakura']"
Beauty Rope Cosmetology,Japan,1983,Miki Takakura,Female,"['Miki', 'Hanako Kugayama']"
Ninja in the Dragon's Den,Japan,1982,Hiroyuki Sanada,Male,"['Genbu', 'Genbu']"
Spirited Away,Japan,2001,Rumi Hiiragi,Female,"['Chihiro Ogino / Sen (voice)', 'Chihiro Ogino / Sen']"
Lost in Translation,Japan,2003,Scarlett Johansson,Female,"['Charlotte', 'Charlotte']"
Memoirs of a Geisha,Japan,2005,Suzuka Ohgo,Female,"['Chiyo', 'Chiyo']"
Enter the Void,Japan,2009,Paz de la Huerta,Female,"['Linda', 'Linda']"
Ponyo,Japan,2008,Tomoko Yamaguchi,Female,"['Risa (voice)', 'Risa']"
The Grudge,Japan,2004,Sarah Michelle Gellar,Female,"['Karen Davis', 'Karen']"
Paprika,Japan,2006,Megumi Hayashibara,Female,"['Paprika / Atsuko Chiba (voice)', 'Paprika / Chiba Atsuko']"
The Cat Returns,Japan,2002,Chizuru Ikewaki,Female,"['Haru Yoshioka (voice)', 'Haru']"
5 Centimeters per Second,Japan,2007,Kenji Mizuhashi,Male,"['Takaki Tohno (voice)', 'Takaki Tohno']"
Redline,Japan,2009,Takuya Kimura,Male,"['JP (voice)', 'JP']"
Love Exposure,Japan,2008,Takahiro Nishijima,Male,"['Yu Honda', 'Yû']"
Evangelion: 1.0 You Are (Not) Alone,Japan,2007,Megumi Ogata,Female,"['Shinji Ikari (voice)', 'Shinji Ikari']"
Suicide Club,Japan,2001,Ryo Ishibashi,Male,"['Detective Kuroda', 'Detective Toshiharu Kuroda']"
The Twilight Samurai,Japan,2002,Hiroyuki Sanada,Male,"['Seibei Iguchi', 'Seibei Iguchi']"
Godzilla: Final Wars,Japan,2004,Masahiro Matsuoka,Male,"[""Shin'ichi Ôzaki"", ""Earth Defense Force Soldier Shin'ichi Ôzaki""]"
One Piece: The Movie,Japan,2000,Akemi Okamura,Female,"['Nami', 'Nami']"
The Blind Swordsman: Zatoichi,Japan,2003,Takeshi Kitano,Male,"['Zatoichi / Ichi', 'Zatôichi / Ichi']"
Brother,Japan,2000,Takeshi Kitano,Male,"['Aniki Yamamoto', 'Aniki Yamamoto']"
One Piece: Baron Omatsuri and the Secret Island,Japan,2005,Takeshi Aono,Male,"['Kerojii', 'Kerojii']"
Love and Honor,Japan,2006,Takuya Kimura,Male,"['Shinnojo Mimura', 'Shinnojo Mimura']"
The Secret World of Arrietty,Japan,2010,Mirai Shida,Female,"['Arrietty (voice)', 'Arietti']"
From Up on Poppy Hill,Japan,2011,Masami Nagasawa,Female,"['Umi Matsuzaki (voice)', 'Umi Matsuzaki']"
Wolf Children,Japan,2012,Aoi Miyazaki,Female,"['Hana (voice)', 'Hana']"
Berserk: The Golden Age Arc I - The Egg of the King,Japan,2012,Hiroaki Iwanaga,Male,"['Guts', 'Guts']"
Cold Fish,Japan,2010,Mitsuru Fukikoshi,Male,"['Nobuyuki Shamoto', 'Nobuyuki Syamoto']"
Friends: Naki on the Monster Island,Japan,2011,Sadao Abe,Male,"['', '']"
The Wind Rises,Japan,2013,Hideaki Anno,Male,"['', 'Jirô Horikoshi']"
Attack on Titan Part 1,Japan,2015,Haruma Miura,Male,"['Eren Yeager', 'Eren']"
The Tale of The Princess Kaguya,Japan,2013,Aki Asakura,Female,"['The Princess Kaguya (voice)', 'Kaguya hime / Jokan']"
When Marnie Was There,Japan,2014,Sara Takatsuki,Female,"['Anna Sasaki (voice)', 'Anna Sasaki']"
Tag,Japan,2015,Reina Triendl,Female,"['Mitsuko', 'Mitsuko']"
Midnight Diner,Japan,2014,Kaoru Kobayashi,Male,"['Master', 'Master']"
A Silent Voice: The Movie,Japan,2016,Miyu Irino,Male,"['Shouya Ishida (voice)', 'Shôya Ishida']"
Dragon Ball Super: Broly,Japan,2018,Masako Nozawa,Female,"['Son Goku / Son Goten / Bardock (voice)', 'Son Gokû / Son Goten / Bardock / Gogeta']"
Shoplifters,Japan,2018,Lily Franky,Male,"['Osamu Shibata', 'Osamu Shibata']"
Antiporno,Japan,2016,Ami Tomite,Female,"['Kyoko Suzuki', 'Kyôko Suzuki']"
One Cut of the Dead,Japan,2017,Takayuki Hamatsu,Male,"['Director Higurashi', 'Director Higurashi']"
Mary and the Witch's Flower,Japan,2017,Hana Sugisaki,Female,"['Mary (voice)', 'Mary']"
Drive My Car,Japan,2021,Hidetoshi Nishijima,Male,"['Yūsuke Kafuku', 'Yûsuke Kafuku']"
Belle,Japan,2021,Kaho Nakamura,Female,"['Suzu Naitō / Belle (voice)', 'Suzu / Belle']"
Minamata,Japan,2020,Akiko Iwase,Female,"['Masako Matsumura', 'Masako Matsumura']"
Bubble,Japan,2022,Jun Shison,Male,"['Hibiki (voice)', 'Hibiki']"
Beyond the Infinite Two Minutes,Japan,2020,Kazunari Tosa,Male,"['Kato', 'Kato']"
Earthquake Bird,Japan,2019,Alicia Vikander,Female,"['Lucy Fly', 'Lucy Fly']"
NiNoKuni,Japan,2019,Kento Yamazaki,Male,"['Yuu (voice)', 'Yû']"
The Quintessential Quintuplets Movie,Japan,2022,Kana Hanazawa,Female,"['Ichika Nakano (voice)', 'Ichika Nakano']"
Two Mules for Sister Sara,Mexico,1970,Shirley MacLaine,Female,prostitute
Viridiana,Mexico,1961,Silvia Pinal,Female,player
Alucarda,Mexico,1977,Claudio Brook,Male,doctor
Simon of the Desert,Mexico,1965,Claudio Brook,Male,herder
The Mansion of Madness,Mexico,1973,Claudio Brook,Male,doctor
Skeleton of Mrs. Morales,Mexico,1960,Arturo de Córdova,Male,doctor
El hombre de los hongos,Mexico,1976,Isela Vega,Female,servant
La presidenta municipal,Mexico,1975,María Elena Velasco,Female,potter
Santo in the Wax Museum,Mexico,1963,Santo,Male,wrestler
Stuffed Butterflies,Mexico,1978,Silvia Pinal,Female,writer
The Revenge of the Crying Woman,Mexico,1974,Santo,Male,professor
Mil caminos tiene la muerte,Mexico,1977,Ana Martín,Female,biker
Su excelencia,Mexico,1967,Cantinflas,Male,ambassador
Santo vs. the Evil Brain,Mexico,1961,Joaquín Cordero,Male,doctor
Santo vs. Frankenstein's Daughter,Mexico,1972,Santo,Male,scientist
The Extra,Mexico,1962,Cantinflas,Male,extra
Rarotonga,Mexico,1978,Raúl Ramírez,Male,doctor
The Vengeance of the Vampire Women,Mexico,1970,Santo,Male,doctor
The Year of the Plague,Mexico,1979,Alejandro Parodi,Male,doctor
El deseo llega de noche,Mexico,1969,Joaquín Cordero,Male,doctor
The Stepmother,Mexico,1974,Amparo Rivelles,Female,prostitute
Santo in the Vengeance of the Mummy,Mexico,1971,Santo,Male,wrestler
La diosa impura,Mexico,1963,Isabel Sarli,Female,painter
Dr. Satán y la magia negra,Mexico,1968,Joaquín Cordero,Male,doctor
Dr. Satán,Mexico,1966,Joaquín Cordero,Male,doctor
Santo vs. the She-Wolves,Mexico,1976,Santo,Male,hacker
Amor libre,Mexico,1979,Julissa,Female,commercial
Freeway II: Confessions of a Trickbaby,Mexico,1999,Natasha Lyonne,Female,prostitute
Herod's Law,Mexico,1999,Damián Alcázar,Male,assistant
Poison for the Fairies,Mexico,1986,Ana Patricia Rojo,Female,nanny
Old Gringo,Mexico,1989,Jane Fonda,Female,teacher
Grave Robbers,Mexico,1989,Fernando Almada,Male,executioner
Curado de espantos,Mexico,1992,Lina Santos,Female,archaeologist
Un embrujo,Mexico,1998,Blanca Guerra,Female,teacher
La mujer del ministro,Mexico,1981,Amparo Muñoz,Female,minister
Day and Night,Mexico,1997,Arielle Dombasle,Female,producer
Frida Still Life,Mexico,1983,Ofelia Medina,Female,painter
Antonieta,Mexico,1982,Isabelle Adjani,Female,writer
"De tripas, corazón",Mexico,1996,Elpidia Carrillo,Female,prostitute
Woman of the Port,Mexico,1991,Evangelina Sosa,Female,dancer
Bajo la metralla,Mexico,1983,Humberto Zurita,Male,senior
Bajo California: El límite del tiempo,Mexico,1998,Damián Alcázar,Male,artist
Bésame en la boca,Mexico,1995,Paulina Rubio,Female,artist
El enviado de la muerte,Mexico,1990,Miguel Ángel Rodríguez,Male,doctor
Los maistros,Mexico,1988,Yirah Aparicio,Female,maid
La dinastía de Dracula,Mexico,1980,Fabián Aranza,Male,doctor
Pan's Labyrinth,Mexico,2006,Ivana Baquero,Female,housekeeper
The Devil's Backbone,Mexico,2001,Marisa Paredes,Female,doctor
The Burning Plain,Mexico,2008,Charlize Theron,Female,restaurant
Innocent Voices,Mexico,2004,Carlos Padilla,Male,driver
Rudo y Cursi,Mexico,2008,Gael García Bernal,Male,goalkeeper
Bella,Mexico,2006,Eduardo Verástegui,Male,restaurant
The Maid,Mexico,2009,Catalina Saavedra,Female,maid
Dust to Dust,Mexico,2000,Osvaldo Benavides,Male,writer
Ladies' Night,Mexico,2003,Ana Claudia Talancón,Female,stripper
Déficit,Mexico,2007,Andrés Almeida,Male,conductor
American Visa,Mexico,2005,Demián Bichir,Male,professor
Shibari,Mexico,2002,Patricia Páramo,Male,model
Historias y testigos: ¡Ni una muerta mas!,Mexico,2004,Fabiola Campomanes,Female,reporter
The Cramp,Mexico,2009,Julien Cottereau,Male,comedian
From Prada to Nada,Mexico,2011,Camilla Belle,Female,clerk
Los ojos de Julia,Mexico,2010,Belén Rueda,Female,inspector
Barrio Tales,Mexico,2012,Alexander Aguila,Male,poet
Everybody's Got Somebody... Not Me,Mexico,2012,Andrea Portal,Female,executive
Goodbye Cruel World,Mexico,2010,Carlos Alberto Orozco,Male,accountant
Así es la suerte,Mexico,2011,Mauricio Isaac,Male,actor
Sicario,Mexico,2015,Emily Blunt,Female,chandler
Desierto,Mexico,2015,Gael García Bernal,Male,vigilante
Heli,Mexico,2013,Armando Espitia,Male,detective
I Am Happiness on Earth,Mexico,2014,Hugo Catalán,Male,director
I Don't Know Whether to Slit My Wrists or Leave Them Long,Mexico,2013,Ludwika Paleta,Female,traveler
Dariela los martes,Mexico,2014,Paola Nuñez,Female,actress
Roma,Mexico,2018,Yalitza Aparicio,Female,maid
Tigers Are Not Afraid,Mexico,2017,Paola Lara,Female,teacher
Don't Blame the Kid,Mexico,2016,Karla Souza,Female,bachelor
Compadres,Mexico,2016,Omar Chaparro,Male,hacker
Martians vs. Mexicans,Mexico,2018,Omar Chaparro,Male,king
Cosas con las manos,Mexico,2017,Alonso Chirino,Male,conductor
Miss Bala,Mexico,2019,Gina Rodriguez,Female,artist
Asphalt Goddess,Mexico,2020,Ximena Romo,Female,vocalist
Mayfly,Mexico,2021,Danae Reynaud,Female,senior
Soy tu fan,Mexico,2022,Ana Claudia Talancón,Female,therapist
Birders,Mexico,2019,Esteban Berrones,Male,guide
Angel,Mexico,2022,Hoze Meléndez,Male,heiress
El mar entre las casas,Mexico,2020,Aram Oyarzabal,Male,biologist
Elder Leaves,Mexico,2021,Jacinto Astiazarán,Male,senior
Camera Buff,Poland,1979,Jerzy Stuhr,Male,worker
Man of Marble,Poland,1977,Jerzy Radziwilowicz,Male,filmmaker
The Promised Land,Poland,1975,Daniel Olbrychski,Male,managing engineer
Barrier,Poland,1966,Joanna Szczerbic,Female,driver
Landscape After Battle,Poland,1970,Daniel Olbrychski,Male,poet
The Shadow Line,Poland,1976,Marek Kondrat,Male,seaman
Co mi zrobisz jak mnie zlapiesz,Poland,1978,Krzysztof Kowalewski,Male,director
Ktokolwiek wie...,Poland,1966,Edward Linde-Lubaszenko,Male,journalist
Walkover,Poland,1965,Jerzy Skolimowski,Male,boxer
The Song of Triumphant Love,Poland,1969,Beata Tyszkiewicz,Female,noble
Sledztwo,Poland,1974,Tadeusz Borowski,Male,inspector
Kardiogram,Poland,1971,Tadeusz Borowski,Male,doctor
Dagny,Poland,1977,Lise Fjeldstad,Female,painter
Dotkniecie nocy,Poland,1962,Jerzy Kozakiewicz,Male,photographer
Boleslaw Smialy,Poland,1972,Ignacy Gogolewski,Male,king
Hipoteza,Poland,1973,Jerzy Zelnik,Male,professor
Cala naprzód,Poland,1967,Zbigniew Cybulski,Male,sailor
Behind the Wall,Poland,1971,Maja Komorowska,Female,writer
Zaliczenie,Poland,1968,Aleksander Bardini,Male,profesor
Ostatni kurs,Poland,1963,Barbara Rylska,Female,singer
Ciemnogród,Poland,1964,Wojciech Duryasz,Male,soldier
Szklana góra,Poland,1960,Maria Wachowiak,Female,doctor
Zbieg,Poland,1960,Emil Karewicz,Male,officer
Stacja bezsennosc,Poland,1974,Hanna Stankówna,Female,doctor
It Started Yesterday,Poland,1961,Tadeusz Bartosik,Male,officer
Three Colors: White,Poland,1994,Zbigniew Zamachowski,Male,conveyor
Three Colors: Blue,Poland,1993,Juliette Binoche,Female,composer
The Double Life of Véronique,Poland,1991,Irène Jacob,Female,director
Pociag do Hollywood,Poland,1987,Katarzyna Figura,Female,acting
Man of Iron,Poland,1981,Jerzy Radziwilowicz,Male,journalist
Kiler,Poland,1997,Cezary Pazura,Male,driver
300 Miles to Heaven,Poland,1989,Wojciech Klata,Male,career
Nothing Funny,Poland,1995,Cezary Pazura,Male,director
The Constant Factor,Poland,1980,Tadeusz Bradecki,Male,window cleaner
Escape from the 'Liberty' Cinema,Poland,1990,Janusz Gajos,Male,censor
Kroll,Poland,1991,Olaf Lubaszenko,Male,soldier
Mr. Blob in the Universe,Poland,1988,Piotr Fronczewski,Male,professor
Angel in the Wardrobe,Poland,1987,Jerzy Trela,Male,soundman
Sequence of Feelings,Poland,1993,Daniel Olbrychski,Male,actor
Wojaczek,Poland,1999,Krzysztof Siwczyk,Male,poet
Travels of Mr. Kleks,Poland,1986,Piotr Fronczewski,Male,professor
The Haven,Poland,1998,Maja Ostaszewska,Female,teacher
Ojciec królowej,Poland,1980,Anna Seniuk,Female,queen
A Gentle Spirit,Poland,1985,Józef Duriasz,Male,narrator
Kamienne tablice,Poland,1984,Krzysztof Chamiec,Male,poet
Zaproszenie,Poland,1986,Antonina Gordon-Górecka,Female,doctor
Inland Empire,Poland,2006,Karolina Gruszka,Female,prostitute
Poranek kojota,Poland,2001,Maciej Stuhr,Male,waiter
The Dark House,Poland,2009,Arkadiusz Jakubik,Male,zootechnician
It's a Free World...,Poland,2007,Kierston Wareing,Female,dead-end job
Chopin: Desire for Love,Poland,2002,Piotr Adamczyk,Male,composer
Tatarak,Poland,2009,Krystyna Janda,Female,actress
33 Scenes from Life,Poland,2008,Julia Jentsch,Female,composer
Testosteron,Poland,2007,Piotr Adamczyk,Male,ornithologist
Skazany na bluesa,Poland,2005,Tomasz Kot,Male,career
Big Animal,Poland,2000,Jerzy Stuhr,Male,employee
King Ubu,Poland,2003,Jan Peszek,Male,king
The Devil from Seventh Grade,Poland,2006,Wojciech Malajkat,Male,professor
Nagle na zawsze,Poland,2008,Marcin Brzozowski,Male,actor
Barbórka,Poland,2005,Iwona Sitkowska,Female,worker
Jest sprawa...,Poland,2003,Joanna Kurowska,Female,teacher
Elles,Poland,2011,Juliette Binoche,Female,designer
To Kill a Beaver,Poland,2012,Eryk Lubos,Male,soldier
Zaklina,Poland,2012,Monika Fronczek,Female,teacher
Mystification,Poland,2010,Jerzy Stuhr,Male,artist
Swiatlo,Poland,2011,Jerzy Trela,Male,narrator
Ida,Poland,2013,Agata Kulesza,Female,prosecutor
Floating Skyscrapers,Poland,2013,Mateusz Banasiuk,Male,swimmer
Bogowie,Poland,2014,Tomasz Kot,Male,career
Worst Case Scenario,Poland,2014,Eva Löbau,Female,designer
Performer,Poland,2015,Oskar Dawicki,Male,performer
The Innocents,Poland,2016,Lou de Laâge,Female,doctor
Cold War,Poland,2018,Joanna Kulig,Female,composer
Spoor,Poland,2017,Agnieszka Mandat,Female,entomologist
Lullaby Killer,Poland,2017,Tomasz Schuchardt,Male,investigator
For You,Poland,2018,Oliwia Nazimek,Male,career
Teatroteka: Tajny klient,Poland,2016,Tomasz Borkowski,Male,customer
Corpus Christi,Poland,2019,Bartosz Bielenia,Male,vicar
All Our Fears,Poland,2021,Dawid Ogrodnik,Male,activist
Mój dlug,Poland,2022,Bartosz Sak,Male,entrepreneur
"Dark, Almost Night",Poland,2019,Magdalena Cielecka,Female,reporter
Kazdy ma swoje lato,Poland,2020,Nicolas Przygoda,Male,organist
Lokatorka,Poland,2021,Irena Melcer,Female,commissioner
Skansen,Poland,2020,Eliza Rycembel,Female,influencer
Anna Karenina,Russia,1997,Sophie Marceau,Female,senior
The Barber of Siberia,Russia,1998,Julia Ormond,Female,cadet
