title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Desierto,tt3147312,2015,Gael García Bernal,Male,Mexico,vigilante
Heli,tt2852376,2013,Armando Espitia,Male,Mexico,detective
The Golden Dream,tt2042583,2013,Brandon López,Male,Mexico,leader
I Am Happiness on Earth,tt2871256,2014,Hugo Catalán,Male,Mexico,director
The Similars,tt3949658,2015,Gustavo Sánchez Parra,Male,Mexico,miner
I Don't Know Whether to Slit My Wrists or Leave Them Long,tt2539482,2013,Ludwika Paleta,Female,Mexico,traveler
Seducción (aka Secreto De Amor),tt3675222,2014,Alejandro Camacho,Male,Mexico,professor
The Popcorn Chronicles,tt2378936,2014,Andrés Bustamante,Male,Mexico,mayor
Pulling Strings,tt3203890,2013,Jaime Camil,Male,Mexico,singer
Dariela los martes,tt3089016,2014,Paola Nuñez,Female,Mexico,actress
Sugar Kisses,tt2171118,2013,César Kancino,Male,Mexico,leader
The Land of Silence,tt3671924,2014,Gilberto Barraza,Male,Mexico,filmmaker
El Jeremías,tt4457020,2015,Martín Castro,Male,Mexico,psychologist
Los árboles mueren de pie,tt2951134,2015,Jaime Camil,Male,Mexico,director
Minotaur,tt4940952,2015,Elizabeth Tinoco,Male,Mexico,servant
El dinero no cae del cielo - El aerolito,tt11986784,2015,Alejandro Camacho,Male,Mexico,commander
Ramona,tt3179580,2014,Columba Domínguez,Female,Mexico,senior
El Sandwich De Mariana,tt4464782,2014,Anna Gaby,Male,Mexico,senior
Arma Blanca,tt2928224,2013,Mónica Del Carmen,Female,Mexico,maid
Intimate Witness,tt3980568,2015,Felipe Colombo,Male,Mexico,lawyer
Roma,tt6155172,2018,Yalitza Aparicio,Female,Mexico,maid
Loca Por El Trabajo,tt7126758,2018,Bárbara de Regil,Female,Mexico,executive
Tigers Are Not Afraid,tt4823434,2017,Paola Lara,Female,Mexico,teacher
Don't Blame the Kid,tt5538800,2016,Karla Souza,Female,Mexico,bachelor
Leona,tt8446886,2018,Naian González Norvind,Female,Mexico,artist
Everything Else,tt4997822,2016,Adriana Barraza,Female,Mexico,clerk
Compadres,tt3367294,2016,Omar Chaparro,Male,Mexico,hacker
The Chambermaid,tt8331988,2018,Gabriela Cartol,Female,Mexico,maid
Veronica,tt3183402,2017,Arcelia Ramírez,Female,Mexico,psychologist
How to Break Up with Your Douchebag,tt5473706,2017,Mariana Treviño,Female,Mexico,therapist
Martians vs. Mexicans,tt7941612,2018,Omar Chaparro,Male,Mexico,king
Las siete muertes,tt5922328,2017,Manuela Vellés,Female,Mexico,writer
Más sabe el diablo por viejo,tt8408848,2018,Osvaldo Benavides,Male,Mexico,actor
El Baile de la Gacela,tt6802322,2018,Marco Antonio Calvo Coronado,Male,Mexico,player
Dos Fridas,tt6749272,2018,Maria de Medeiros,Female,Mexico,painter
Tamara and the Ladybug,tt5255874,2016,Cecilia Cantú,Male,Mexico,bureaucrat
Dia Seis,tt4810318,2016,Andrés Montiel,Male,Mexico,actress
Recuperando a mi Ex,tt5863566,2018,Andrés Almeida,Male,Mexico,actor
Amir,tt3863018,2016,Jorge Guevara,Male,Mexico,musician
La Voz de un Sueño,tt6394158,2016,Iazua Larios,Female,Mexico,singer
Xbox one x,tt14227610,2018,Enrique Arrizon,Male,Mexico,player
Cosas con las manos,tt6689034,2017,Alonso Chirino,Male,Mexico,conductor
El ocaso de Juan,tt5541434,2016,Kristyan Ferrer,Male,Mexico,farmer
Doritos: For The Bold,tt9854184,2017,Enrique Arrizon,Male,Mexico,player
Miss Bala,tt5941692,2019,Gina Rodriguez,Female,Mexico,artist
My Best Friend's Wedding,tt8220332,2019,Ana Serradilla,Female,Mexico,critic
Perdiendo mi virginidad,tt11242286,2019,Estefania Franco,Female,Mexico,profesor
Cuidado con lo que deseas,tt12943128,2020,Fernanda Castillo,Female,Mexico,king
Grandma's Wedding,tt8022904,2019,Susana Alexander,Female,Mexico,caretaker
Asphalt Goddess,tt12025688,2020,Ximena Romo,Female,Mexico,vocalist
Mayfly,tt15185560,2021,Danae Reynaud,Female,Mexico,senior
Holy Beasts,tt7764804,2019,Geraldine Chaplin,Female,Mexico,actress
Soy tu fan,tt15021648,2022,Ana Claudia Talancón,Female,Mexico,therapist
Birders,tt10907798,2019,Esteban Berrones,Male,Mexico,guide
Wintersong,tt13923134,2020,Ruth Ramos,Female,Mexico,musician
This Is Tomas,tt9078972,2019,Hoze Meléndez,Male,Mexico,musician
Vagoneros,tt5355580,2019,Fátima Molina,Female,Mexico,actress
"Mole de Olla, receta Original",tt6945970,2019,Tara Parra,Female,Mexico,cook
Viral,tt12719364,2020,Carla Adell,Female,Mexico,senior
Prince of Peace,tt7645288,2019,Daniel Ruiz,Male,Mexico,prophet
Angel,tt17632824,2022,Hoze Meléndez,Male,Mexico,heiress
Observar las aves,tt9859960,2019,Bea Aaronson,Male,Mexico,filmmaker
El mar entre las casas,tt13403480,2020,Aram Oyarzabal,Male,Mexico,biologist
Elder Leaves,tt11940194,2021,Jacinto Astiazarán,Male,Mexico,senior
