title,id,release_year,main_character_name,main_character_gender,country,main_character_role
The Comforting Hand,tt2649330,2012,Antônio Camargo,Male,Brazil,operator
Velho Mundo,tt1754837,2010,Raphael Borghi,Male,Brazil,driver
Alice na Cama,tt3576162,2012,Renato Batista,Male,Brazil,doctor
Nico,tt2704962,2011,Marja de Sordi,Male,Brazil,detective
Mesa Para Dois,tt2235272,2012,Nataly Cabanas,Male,Brazil,assistant
O Genio de Quintino,tt2083277,2011,Benigna Dias,Male,Brazil,mechanic
The Way He Looks,tt1702014,2014,Ghilherme Lobo,Male,Brazil,guide
The Second Mother,tt3742378,2015,Regina Casé,Female,Brazil,caretaker
Neon Bull,tt4899406,2015,Juliano Cazarré,Male,Brazil,tailor
Reaching for the Moon,tt2217458,2013,Miranda Otto,Female,Brazil,poet
A Wolf at the Door,tt2861532,2013,Leandra Leal,Female,Brazil,officer
Futuro Beach,tt2199543,2014,Wagner Moura,Male,Brazil,lifeguard
Rio 2096: A Story of Love and Fury,tt2231208,2013,Selton Mello,Male,Brazil,warrior
Open Road,tt1922679,2013,Camilla Belle,Female,Brazil,artist
Real Beleza,tt5151144,2015,Vladimir Brichta,Male,Brazil,photographer
Nise: The Heart of Madness,tt2168180,2015,Glória Pires,Female,Brazil,psychiatrist
Tim Maia,tt3134058,2014,Babu Santana,Male,Brazil,singer
Amongst Bees,tt3765088,2015,Fábio Porchat,Male,Brazil,film editor
The Moving Forest,tt4911404,2015,Gabriel Braga Nunes,Male,Brazil,executive
The Augusta Street Ripper,tt3497798,2014,Monica Mattos,Female,Brazil,prostitute
Ocaso,tt9431412,2014,Bruno Bento,Male,Brazil,worker
Latitudes,tt3579082,2014,Alice Braga,Female,Brazil,fashion editor
Loucas pra Casar,tt3948438,2015,Ingrid Guimarães,Female,Brazil,investigator
Chatô - The King of Brazil,tt0337926,2015,Marco Ricca,Male,Brazil,responsible
Through the Shadow,tt4690052,2015,Virginia Cavendish,Female,Brazil,teacher
Meu Passado Me Condena: O Filme,tt3034258,2013,Fábio Porchat,Male,Brazil,passenger
Sobre Chás e Vinhos,tt3134202,2013,Georgina Castro,Female,Brazil,cleaner
Malaria,tt2619250,2013,Antonio Moreno,Male,Brazil,mercenary
Causa & Efeito,tt3847450,2014,Matheus Prestes,Male,Brazil,officer
A Matter of Courage,tt4938662,2015,Armando Babaioff,Male,Brazil,rock climber
A Primeira Missa,tt2124730,2014,Dagoberto Feliz,Male,Brazil,director
Riocorrente,tt2974644,2013,Roberto Audio,Male,Brazil,journalist
Muita Calma Nessa Hora 2,tt2216536,2014,Andréia Horta,Female,Brazil,photographer
Vazio Coração,tt5642552,2013,Murilo Rosa,Male,Brazil,singer
Never Too Old to Meow,tt3446908,2014,Regina Duarte,Female,Brazil,writer
Golden Glove,tt4666236,2015,Carlos de Niggro,Male,Brazil,fighter
Dia dos Namorados,tt5207724,2015,Sandra Dani,Male,Brazil,call girl
Erivaldo O Astronauta Místico,tt4678146,2013,Rodrigo Fonseca,Male,Brazil,reporter
Eric,tt3755196,2014,Roney Facchini,Male,Brazil,driver
Aquarius,tt5221584,2016,Sônia Braga,Female,Brazil,writer
Good Manners,tt5480782,2017,Isabél Zuaa,Female,Brazil,nanny
Nothing to Lose,tt6910020,2018,Petrônio Gontijo,Male,Brazil,founder
Elis,tt4875150,2016,Andréia Horta,Female,Brazil,singer
Bingo: The King of the Mornings,tt6293516,2017,Vladimir Brichta,Male,Brazil,king
The Cannibal Club,tt7890408,2018,Tavinho Teixeira,Male,Brazil,leader
Dona Flor and Her Two Husbands,tt7901878,2017,Juliana Paes,Female,Brazil,pharmacist
492: A Man Called Death,tt5991954,2017,Marco Pigossi,Male,Brazil,responsible
Lino,tt6424768,2017,Selton Mello,Male,Brazil,entertainer
Tito and the Birds,tt8327492,2018,Pedro Henrique,Male,Brazil,scientist
Under Pressure,tt5259978,2016,Júlio Andrade,Male,Brazil,dr.
Long Way Home,tt8731138,2018,Grace Passô,Female,Brazil,employee
Araby,tt6400280,2017,Aristides de Sousa,Male,Brazil,worker
Rent Male Unrated,tt7975252,2016,Kaio Brandon,Male,Brazil,prostitute
10 Segundos para Vencer,tt6251504,2018,Daniel de Oliveira,Male,Brazil,trainer
Berenice,tt7504268,2017,Cláudia Abreu,Female,Brazil,driver
Porta dos Fundos: Contrato Vitalício,tt5708172,2016,Fábio Porchat,Male,Brazil,actor
I Go Crazy,tt5968964,2017,Christian Figueiredo,Male,Brazil,youtuber
Uma Quase Dupla,tt8591986,2018,Tatá Werneck,Female,Brazil,officer
Cine Holliúdy 2: A Chibata Sideral,tt7247512,2018,Edmilson Filho,Male,Brazil,pastor
O Candidato Honesto 2,tt8837044,2018,Leandro Hassum,Male,Brazil,politician
Doidas e Santas,tt5221004,2016,Maria Paula,Female,Brazil,psychoanalyst
Simonal,tt6145054,2018,Fabrício Boliveira,Male,Brazil,career
Cowboy's Heart,tt6544940,2018,Gabriel Sater,Male,Brazil,singer
Island,tt9031490,2018,Aldri Anunciação,Male,Brazil,filmmaker
Roommate,tt7175434,2017,Clara Choveaux,Female,Brazil,resident
Praça Paris,tt6206880,2017,Grace Passô,Female,Brazil,dealer
East West,tt4328186,2016,Felipe Kannenberg,Male,Brazil,racer
Love Stories,tt4019666,2016,Gregório Duvivier,Male,Brazil,executive
A Cidade dos Piratas,tt9876022,2018,Laerte Coutinho,Female,Brazil,cartoonist
Solo,tt5824458,2016,Paula Picarelli,Female,Brazil,ballerina
Carro,tt7379654,2018,Robert Caudy,Male,Brazil,attendant
Cowboys of the Apocalypse,tt6275798,2018,Brás Antunes,Male,Brazil,grade
Jasmim Hotel,tt5733812,2016,Dudu Pelizzari,Male,Brazil,prostitute
Music When the Lights Go Out,tt7449594,2017,Emelyn Fischer,Male,Brazil,author
Magal and the Ants,tt5639362,2016,Sidney Magal,Male,Brazil,singer
What of This World Without Passion?,tt9753312,2016,Saulo Arcoverde,Male,Brazil,novelist
Tudo Acaba em Festa,tt9303696,2018,Marcos Veras,Male,Brazil,responsible
Lilith,tt8322068,2018,Gilda Nomacce,Female,Brazil,trainee
Tea for Two,tt10488692,2018,Gilda Nomacce,Female,Brazil,filmmaker
Antes do Fim,tt7574080,2017,Jean-Claude Bernardet,Male,Brazil,actress
A Coisa Mais Simples do Mundo,tt6352292,2017,Fabio Augusto Barreto,Male,Brazil,commercial
Pisadeira,tt9659322,2017,Adler Alves,Male,Brazil,scientist
Os Olhos de Arthur,tt5248868,2016,André Campos,Male,Brazil,swimmer
"Barata Ribeiro, 716",tt6006696,2016,Caio Blat,Male,Brazil,writer
Executive Order,tt10395866,2020,Alfred Enoch,Male,Brazil,lawyer
Ricos de Amor,tt10329566,2020,Danilo Mesquita,Male,Brazil,king
The Book of Delights,tt13350988,2020,Simone Spoladore,Female,Brazil,elementary school teacher
Airplane Mode,tt10731748,2020,Larissa Manoela,Female,Brazil,stylist
Jesus Kid,tt10930820,2021,Paulo Miklos,Male,Brazil,writer
Kardec,tt9213932,2019,Leonardo Medeiros,Male,Brazil,educator
Ophelia's Death,tt7659918,2019,Bruna Marquezine,Female,Brazil,photographer
Me Tira da Mira,tt14257960,2022,Bruna Ciocca,Male,Brazil,therapist
Loop,tt8241138,2020,Bruno Gagliasso,Male,Brazil,physicist
Hermanoteu na Terra de Godah: O Filme,tt18689276,2022,Ricardo Pipo,Male,Brazil,shepherd
A Febre,tt10603466,2019,Regis Myrupu,Male,Brazil,security guard
Silence of the Rain,tt9463434,2020,Lázaro Ramos,Male,Brazil,inspector
