title,id,release_year,main_character_name,main_character_gender,country,main_character_role
The Irish Prisoner,tt3528486,2015,Alexia Moyano,Female,Argentina,soldier
The Rotten Link,tt3963466,2015,Luis Ziembrowski,Male,Argentina,doctor
The Land of Silence,tt3671924,2014,Gilberto Barraza,Male,Argentina,filmmaker
Kryptonite,tt5153260,2015,Diego Velázquez,Male,Argentina,doctor
The Reconstruction,tt2718462,2013,Diego Peretti,Male,Argentina,worker
5.5.5,tt1809214,2013,Antonio Birabent,Male,Argentina,professor
Arrebato,tt4168698,2014,Pablo Echarri,Male,Argentina,professor
Los hongos,tt3907102,2014,Jovan Alexis Marquinez,Male,Argentina,worker
Reimon,tt3508514,2014,Marcela Dias,Male,Argentina,domestic worker
Ditches,tt3715392,2015,Diego Alonso Gómez,Male,Argentina,worker
The Ways of Wine,tt5006094,2015,Charlie Arturaola,Male,Argentina,sommelier
Lock Charmer,tt3460184,2014,Esteban Lamothe,Male,Argentina,locksmith
Forajidos de la Patagonia,tt1612760,2014,Juan Manuel Rodil,Male,Argentina,filmmaker
Everybody Knows,tt4964788,2018,Penélope Cruz,Female,Argentina,police officer
Dry Martina,tt6312802,2018,Antonella Costa,Female,Argentina,singer
"Tiger, Blood in the Mouth",tt4791322,2016,Leonardo Sbaraglia,Male,Argentina,professional boxer
La Flor,tt9047474,2018,Elisa Carricajo,Female,Argentina,agent
Nobody's Watching,tt3810810,2017,Guillermo Pfening,Male,Argentina,producer
Inseparables,tt5680678,2016,Oscar Martínez,Male,Argentina,assistant
A Decent Woman,tt5679536,2016,Iride Mockert,Female,Argentina,maid
We Are Thr3e,tt8150768,2018,Charly Etchévers,Male,Argentina,accountant
"Yo soy así, Tita de Buenos Aires",tt7611618,2017,Mercedes Funes,Female,Argentina,singer
"Murder Me, Monster",tt8311792,2018,Victor Lopez,Male,Argentina,police officer
The Last Suit,tt5991974,2017,Miguel Ángel Solá,Male,Argentina,tailor
Marilyn,tt7943248,2018,Walter Rodríguez,Male,Argentina,worker
The Idea of a Lake,tt5541206,2016,Carla Crespo,Female,Argentina,photographer
The Uncovering,tt7358302,2018,Michel Noher,Male,Argentina,minister
I'm Gilda,tt3846334,2016,Natalia Oreiro,Female,Argentina,singer
Atrevidas,tt8988906,2018,Sofia Bertolotto,Female,Argentina,companion
El azote,tt7679672,2017,Kiran Sharbis,Male,Argentina,worker
Night Watch,tt6639886,2017,Gastón Pauls,Male,Argentina,night watchman
Doidas e Santas,tt5221004,2016,Maria Paula,Female,Argentina,psychoanalyst
Facing the Wind,tt6238798,2018,Mónica García,Male,Argentina,dancer
Angelita la doctora,tt4018040,2016,Ana María Picchio,Female,Argentina,guard
Viaje inesperado,tt8463494,2018,Pablo Rago,Male,Argentina,engineer
Bruno Motoneta,tt7625892,2018,Facundo Gambandé,Male,Argentina,secretary
Veredas,tt6747424,2017,Ezequiel Tronconi,Male,Argentina,guide
Rey's Education,tt6107102,2017,Matías Encinas,Male,Argentina,security guard
Al Desierto,tt5613066,2017,Valentina Bassi,Female,Argentina,commissioner
Recetas para microondas,tt8170530,2018,Dery Altamirano,Male,Argentina,doctor
El cruce de la pampa,tt5397532,2016,Roly Serrano,Male,Argentina,dr.
Krona 3 the Froggy Case,tt10392720,2018,Luis Margani,Male,Argentina,chandler
Unidad XV,tt7917826,2018,Carlos Belloso,Male,Argentina,dr.
Salvador,tt9275702,2016,Martín Fuentes,Male,Argentina,driver
The Wrath of God,tt15189534,2022,Macarena Achaga,Female,Argentina,writer
The Tale of King Crab,tt13830148,2021,Gabriele Silli,Male,Argentina,guide
4x4,tt8561690,2019,Peter Lanzani,Male,Argentina,model
The Crimes That Bind,tt10915060,2020,Cecilia Roth,Female,Argentina,maid
Amor bandido,tt14278608,2021,Romina Ricci,Female,Argentina,teacher
With Pleasure,tt13020336,2020,Alejandro Rose-Garcia,Male,Argentina,cowboy
Holy Beasts,tt7764804,2019,Geraldine Chaplin,Female,Argentina,actress
Immortal,tt10380766,2020,Belén Blanco,Female,Argentina,scientist
The Teacher,tt13140122,2020,Diego Velázquez,Male,Argentina,teacher
"Death Doesn't Exist, and Love Doesn't Either",tt8684670,2019,Antonella Saldicco,Female,Argentina,psychiatrist
The Retirement,tt4208146,2019,Luis Brandoni,Male,Argentina,doctor
In the Country of Last Things,tt3350042,2020,Maria de Medeiros,Female,Argentina,founder
Ámbar,tt9676274,2020,Freddy Viquez,Male,Argentina,detective
No soy tu mami,tt9584730,2019,Julieta Díaz,Female,Argentina,journalist
A Common Crime,tt11732324,2020,Elisa Carricajo,Female,Argentina,teacher
The Hunter's Silence,tt11312968,2019,Pablo Echarri,Male,Argentina,ranger
Claudia,tt9351854,2019,Dolores Fonzi,Female,Argentina,planner
The Heat,tt11067026,2020,Carolina Kopelioff,Female,Argentina,director
The Adopters,tt8987544,2019,Diego Gentile,Male,Argentina,presenter
Canal 54,tt14279936,2021,Andrés Larriera,Male,Argentina,organizer
Killing the Dead,tt9248118,2019,Ever Enciso,Male,Argentina,pastor
Biónica,tt15125820,2022,Fabián Arenillas,Male,Argentina,dr.
El cuidado de los otros,tt9881924,2019,Sofía Gala Castiglione,Female,Argentina,worker
Hora Día Mes,tt7082512,2019,Marcelo Cohen,Male,Argentina,narrator
Puto el que lee (murciélagos),tt14695712,2020,Oscar Martínez,Male,Argentina,doctor
TR3SH: la concha de su madre,tt10963746,2019,Agustín Aguirre,Male,Argentina,secretary
El Caníbal,tt7262500,2020,Alberto Ajaka,Male,Argentina,narrator
Imaginary Portrait,tt12578784,2020,Mirko Buchín,Male,Argentina,artist
El ultimo tango - Oriana Sabatini,tt11290654,2019,Oriana Sabatini,Female,Argentina,singer
Age of Consent,tt0063991,1969,James Mason,Male,Australia,artist
Stone,tt0072209,1974,Deryck Barnes,Male,Australia,dr.
Tim,tt0080024,1979,Piper Laurie,Female,Australia,labourer
Patrick,tt0078067,1978,Susan Penhaligon,Female,Australia,matron
Don's Party,tt0074422,1976,Ray Barrett,Male,Australia,labor
Long Weekend,tt0079482,1978,John Hargreaves,Male,Australia,driver
The Day After Halloween,tt0079917,1979,Chantal Contouri,Female,Australia,model
The Odd Angry Shot,tt0079652,1979,Graham Kennedy,Male,Australia,cook
Sunday Too Far Away,tt0073765,1975,Jack Thompson,Male,Australia,shearer
"Goodbye, Norma Jean",tt0074581,1976,Misty Rowe,Female,Australia,baker
Money Movers,tt0077944,1978,Terence Donovan,Male,Australia,senior
Yesterday's Hero,tt0080158,1979,Suzanne Somers,Female,Australia,singer
The Journalist,tt0079374,1979,Jack Thompson,Male,Australia,journalist
Barry McKenzie Holds His Own,tt0071196,1974,Barry Crocker,Male,Australia,queen
Scobie Malone,tt0126019,1975,Jack Thompson,Male,Australia,detective
The F.J. Holden,tt0076011,1977,Paul Couzens,Male,Australia,mate
The Little Convict,tt0079475,1979,Rolf Harris,Male,Australia,storyteller
The Last of the Knucklemen,tt0079444,1979,Gerard Kennedy,Male,Australia,foreman
Summer of Secrets,tt0075282,1976,Arthur Dignam,Male,Australia,dr.
"Violence in the Cinema, Part 1",tt0067953,1971,Arthur Dignam,Male,Australia,dr.
Dawn!,tt0079029,1979,Bronwyn Mackay-Payne,Male,Australia,swimmer
Break of Day,tt0075782,1976,Sara Kestelman,Female,Australia,artist
Raw Deal,tt0076601,1977,Gerard Kennedy,Male,Australia,administrator
Cathy's Child,tt0078946,1979,Michele Fawdon,Female,Australia,reporter
Blue Fire Lady,tt0077250,1977,Cathryn Harrison,Female,Australia,rider
The Night Nurse,tt0077991,1978,Davina Whitehouse,Female,Australia,singer
