title,id,release_year,main_character_name,main_character_gender,country,main_character_role
"Ubezhat, dognat, vluybitsya",tt4741488,2015,Lyubov Aksyonova,Female,Russia,teacher
Corset,tt5662926,2015,Vadim Demchog,Male,Russia,master
"S 8 marta, muzhchiny!",tt3748186,2014,Mariya Berseneva,Female,Russia,armor
Arventur,tt3712718,2015,Sergey Dreyden,Male,Russia,master
Konets epokhi,tt6144470,2014,Polina Pakhomova,Female,Russia,tender
Tayna Sukharevoy bashni. Charodey ravnovesiya,tt5157420,2015,Larisa Brokhman,Female,Russia,merchant
Happy Route,tt4094382,2013,Glafira Tarkhanova,Female,Russia,bus driver
When I Grow Up,tt4222672,2014,Svetlana Amanova,Female,Russia,director
Probuzhdenie,tt3606320,2014,Vladimir Vdovichenkov,Male,Russia,lawyer
The Last Warrior,tt6175394,2017,Viktor Khorinyak,Male,Russia,artist
Ayka,tt8305116,2018,Samal Yeslyamova,Female,Russia,labor
Mortal Affair,tt5920348,2016,Anna Chipovskaya,Female,Russia,photographer
Arrhythmia,tt6952604,2017,Aleksandr Yatsenko,Male,Russia,paramedic
A Rough Draft,tt6270596,2018,Nikita Volkov,Male,Russia,designer
Ice,tt5844488,2018,Aglaya Tarasova,Female,Russia,skater
Your Tutor,tt10971116,2018,Nataliya Vdovina,Female,Russia,teacher
The Duelist,tt5282006,2016,Pyotr Fyodorov,Male,Russia,officer
Paradise,tt4551318,2016,Yuliya Vysotskaya,Female,Russia,officer
The Snow Queen 3: Fire and Ice,tt4685554,2016,Natalya Bystrova,Male,Russia,queen
Anna Karenina: Vronsky's Story,tt6966538,2017,Elizaveta Boyarskaya,Female,Russia,officer
The Monk and the Demon,tt5019884,2016,Timofey Tribuntsev,Male,Russia,resident
Good Boy,tt5358714,2016,Semyon Treskunov,Male,Russia,teacher
VIP Policeman,tt9472658,2018,Alexander Petrov,Male,Russia,officer
"Papers, Please: The Short Film",tt7297578,2018,Igor Savochkin,Male,Russia,inspector
After You're Gone,tt6500276,2016,Sergey Bezrukov,Male,Russia,dancer
Pushkin Hills,tt9110376,2018,Sergey Bezrukov,Male,Russia,songwriter
Nochnaya smena,tt6998408,2018,Vladimir Yaglych,Male,Russia,male stripper
Semiconductor,tt9497120,2018,Anna Den,Male,Russia,magician
Meshok bez dna,tt2386588,2017,Svetlana Nemolyaeva,Female,Russia,lady-in-waiting
Thursday,tt8464254,2018,Angelina Kuznetsova,Female,Russia,doctor
The Queen is on Duty,tt12363252,2018,Olga Arntgolts,Female,Russia,fashion model
The Martian Chronicles of Us Us Us,tt13327052,2018,Paulina Andreeva,Female,Russia,cashier
Tri sestry,tt7624662,2017,Lyudmila Polyakova,Female,Russia,teacher
Khoroshiy den,tt7869420,2017,Evgeniy Sangadzhiev,Male,Russia,driver
Star David,tt5807304,2016,Oleg Kuzin,Male,Russia,dancer
Urod,tt19397048,2017,Oleg Garkusha,Male,Russia,doctor
What the Kind of a Commander He Is,tt6053462,2017,Viktor Proskurin,Male,Russia,reciter
Head over heels,tt7837168,2017,Maria Kudryavtseva,Male,Russia,cosmonaut
Sputnik,tt11905962,2020,Oksana Akinshina,Female,Russia,psychiatrist
Coma,tt6087226,2019,Rinal Mukhametov,Male,Russia,architect
Petrov's Flu,tt10380900,2021,Semyon Serzin,Male,Russia,mechanic
Baba Yaga: Terror of the Dark Forest,tt8006374,2020,Oleg Chugunov,Male,Russia,nanny
Deeper!,tt11439556,2020,Aleksandr Pal,Male,Russia,director
Zoya,tt13946146,2021,Jean-Marc Birkholz,Male,Russia,commandant
Swingers,tt14637930,2021,Dmitriy Nagiev,Male,Russia,model
On the Edge,tt10146208,2020,Svetlana Khodchenkova,Female,Russia,fencer
Ice 2,tt10922066,2020,Alexander Petrov,Male,Russia,skater
Billion,tt10214842,2019,Vladimir Mashkov,Male,Russia,banker
Hypnosis,tt13029450,2020,Maksim Sukhanov,Male,Russia,dr.
Streltsov,tt12058242,2020,Alexander Petrov,Male,Russia,footballer
Chinovnik,tt15709182,2021,Pavel Maykov,Male,Russia,official
Prababushka lyogkogo povedeniya,tt13456266,2021,Aleksandr Revva,Male,Russia,master
The Danube,tt15881420,2021,Nadezhda Lumpova,Male,Russia,street performer
White Snow,tt14210088,2020,Olga Lerman,Female,Russia,skier
The Humorist,tt7352942,2019,Aleksey Agranovich,Male,Russia,humorist
Another Woman,tt10484902,2019,Anna Mikhalkova,Female,Russia,doctor
A Frenchman,tt10124714,2019,Anton Rival,Male,Russia,photographer
Rolls,tt14389674,2022,Kristina Asmus,Female,Russia,baker
Normalnyy tolko ya,tt16150884,2021,Anton Bogdanov,Male,Russia,director
Naughty Grandma 2,tt9450542,2019,Aleksandr Revva,Male,Russia,master
Korporatsiya Ad Libitum,tt13958700,2021,Kristina Babushkina,Female,Russia,editor
Kak v Venetsii,tt15561720,2021,Alexander Petrov,Male,Russia,organizer
"Once upon a time in America, or a purely Russian fairy tale",tt13215186,2019,Mikhail Zadornov,Male,Russia,narrator
Wanderer: Sputnik,tt15149556,2021,Svetlana Balashova,Female,Russia,artist
Angel,tt15559820,2020,Alexander Petrov,Male,Russia,animator
