title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Kandagawa Pervert Wars,tt0163030,1983,Usagi Asô,Female,Japan,spy
Sailor Moon R: The Movie: The Promise of the Rose,tt0106417,1993,Kotono Mitsuishi,Female,Japan,sailor
Sailor Moon SuperS: The Movie: Black Dream Hole,tt0112513,1995,Kotono Mitsuishi,Female,Japan,sailor
The Club Penguin Movie,tt1407273,1985,Takeshi Aono,Male,Japan,manager
Tokyo Fist,tt0114690,1995,Kaori Fujii,Female,Japan,restaurant
Yumeji,tt0103316,1991,Kenji Sawada,Male,Japan,painter
Entrails of a Virgin,tt0222817,1986,Saeko Kizuki,Female,Japan,actress
Sailor Moon S: The Movie - Hearts in Ice,tt0109277,1994,Kotono Mitsuishi,Female,Japan,sailor
A New Love in Tokyo,tt0109059,1994,Sawa Suzuki,Female,Japan,call girl
White Rose Campus: Then Everybody Gets Raped,tt0288217,1982,Nami Misaki,Female,Japan,teacher
Venus Wars,tt0135037,1989,Katsuhide Uekusa,Male,Japan,rider
Sex Hunter,tt0175153,1980,Erina Miyai,Female,Japan,ballerina
Love Hotel,tt0089509,1985,Noriko Hayami,Female,Japan,prostitute
Kagi,tt0122563,1997,Naomi Kawashima,Female,Japan,professor
Ring,tt0235133,1995,Katsunori Takahashi,Male,Japan,reporter
Ninja in the Dragon's Den,tt0084267,1982,Hiroyuki Sanada,Male,Japan,samurai
A Last Note,tt0113186,1995,Haruko Sugimura,Female,Japan,actress
Zigeunerweisen,tt0081662,1980,Yoshio Harada,Male,Japan,professor
To Sleep So as to Dream,tt0092274,1986,Morio Agata,Male,Japan,magician
Dragon Ball Z: Bardock - The Father of Goku,tt0142245,1990,Masako Nozawa,Female,Japan,master
Picnic,tt0117338,1996,Chara,Female,Japan,feather
Edo Porn,tt0202908,1981,Ken Ogata,Male,Japan,artist
Minbo,tt0104874,1992,Nobuko Miyamoto,Female,Japan,lawyer
"Welcome Back, Mr. McDonald",tt0133170,1997,Toshiaki Karasawa,Male,Japan,director
Office Love: Behind Closed Doors,tt0287604,1985,Rei Akasaka,Female,Japan,secretary
Fall Guy,tt0082601,1982,Keiko Matsuzaka,Female,Japan,actress
Angel Dust,tt0109733,1994,Kaho Minami,Female,Japan,psychiatrist
Passenger: Sugisarishi hibi,tt0188990,1987,Minako Honda,Female,Japan,singer
Welcome to the Ogenki Clinic: Feel Good All Over Again,tt2094902,1988,Mako Takigawa,Female,Japan,doctor
Female Teacher Rope Hell,tt0285503,1981,Junko Mabuki,Female,Japan,teacher
Irezumi,tt0084153,1982,Masayo Utsunomiya,Female,Japan,craftsman
Zeiram,tt0103327,1991,Yûko Moriyama,Female,Japan,communicator
Phoenix 2772,tt0079293,1980,Kaneto Shiozawa,Male,Japan,cadet
Unico in the Island of Magic,tt0086515,1983,Katsue Miwa,Female,Japan,magician
Tokyo Pop,tt0096281,1988,Carrie Hamilton,Female,Japan,musician
The Red Spectacles,tt0228456,1987,Shigeru Chiba,Male,Japan,detective
Arcadia of My Youth,tt0084881,1982,Makio Inoue,Male,Japan,officer
Puraido: Unmei no toki,tt0162563,1998,Masahiko Tsugawa,Male,Japan,minister
Roaring Fire,tt0084600,1981,Hiroyuki Sanada,Male,Japan,cowboy
Talking Head,tt0386065,1992,Shigeru Chiba,Male,Japan,director
The Imperial Navy,tt0085620,1981,Susumu Fujita,Male,Japan,minister
Lovers Lost,tt0322118,1982,Keiko Matsuzaka,Female,Japan,geisha
Dr. Akagi,tt0155796,1998,Akira Emoto,Male,Japan,dr.
Slayers,tt0161981,1995,Megumi Hayashibara,Female,Japan,sage
Bu su,tt0204926,1987,Yasuko Tomita,Female,Japan,geisha
"Good Men, Good Women",tt0113256,1995,Annie Shizuka Inoh,Female,Japan,actress
Rebirth of Mothra III,tt0189764,1998,Megumi Kobayashi,Female,Japan,king
Samurai Fiction,tt0170544,1998,Morio Kazama,Male,Japan,master
Gô-hime,tt0104351,1992,Rie Miyazawa,Female,Japan,gardener
Sailor Moon Super S: Ami's First Love,tt0112349,1995,Aya Hisakawa,Female,Japan,sailor
Gakkô no kaidan G,tt0330312,1998,Medaka Ikeno,Male,Japan,guide
Catnapped! The Movie,tt0114689,1995,Noriko Hidaka,Female,Japan,manor
Tokyo Eyes,tt0157117,1998,Shinji Takeda,Male,Japan,vigilante
Love Letter,tt0082683,1981,Keiko Takahashi,Female,Japan,poet
Dan Oniroku: Bikyoshi jigokuzeme,tt0223848,1985,Ran Masaki,Female,Japan,high school teacher
Kamen Rider ZO,tt0099917,1993,Hiroshi Tsuchikado,Male,Japan,rider
Cold Fever,tt0109028,1995,Masatoshi Nagase,Male,Japan,farmer
Kitchen,tt0122133,1989,Ayako Kawahara,Female,Japan,assistant
Temptation of the Mask,tt0291288,1987,Kazuhiro Sano,Male,Japan,detective
The Strange Tale of Oyuki,tt0106457,1992,Masahiko Tsugawa,Male,Japan,writer
"Sumo Do, Sumo Don't",tt0105388,1992,Masahiro Motoki,Male,Japan,professor
Undo,tt0111555,1994,Etsushi Toyokawa,Male,Japan,writer
Naomi,tt0107657,1993,Yumika Hayashi,Female,Japan,hostess
Rampo,tt0110943,1994,Masahiro Motoki,Male,Japan,literary
Death of a Tea Master,tt0098287,1989,Eiji Okuda,Male,Japan,master
Champion Joe,tt1682222,1980,Teruhiko Aoi,Male,Japan,trainer
Boys Over Flowers,tt0889194,1995,Yuki Uchida,Female,Japan,leader
Angel Guts 6: Red Flash,tt0224237,1994,Maiko Kawakami,Female,Japan,photographer
Death Powder,tt0223135,1986,Shigeru Izumiya,Male,Japan,guard
Samurai Shodown: The Motion Picture,tt0148699,1994,Shingo Katori,Male,Japan,warrior
Lesbian Harem,tt0286786,1987,Chiemi Akimoto,Female,Japan,queen
Bye Bye Jupiter,tt0086247,1984,Tomokazu Miura,Male,Japan,dr.
Tomorrow's Joe 2,tt1690442,1981,Teruhiko Aoi,Male,Japan,trainer
Secretary Rope Discipline,tt0287399,1981,Junko Mabuki,Female,Japan,secretary
Capone Cries a Lot,tt0089404,1985,Ken'ichi Hagiwara,Male,Japan,singer
Hunters' Sense of Touch,tt0291292,1995,Naoto Yoshimoto,Male,Japan,detective
The Most Terrible Time in My Life,tt0108509,1993,Masatoshi Nagase,Male,Japan,detective
Down to Hell,tt0346898,1997,Masami Miyata,Male,Japan,leader
Spirited Away,tt0245429,2001,Rumi Hiiragi,Female,Japan,worker
Memoirs of a Geisha,tt0397535,2005,Suzuka Ohgo,Female,Japan,resident
Lost in Translation,tt0335266,2003,Scarlett Johansson,Female,Japan,photographer
Enter the Void,tt1191111,2009,Paz de la Huerta,Female,Japan,buddhist
Paprika,tt0851578,2006,Megumi Hayashibara,Female,Japan,therapist
The Grudge,tt0391198,2004,Sarah Michelle Gellar,Female,Japan,worker
Street Fighter: The Legend of Chun-Li,tt0891592,2009,Kristin Kreuk,Female,Japan,pianist
The Cat Returns,tt0347618,2002,Chizuru Ikewaki,Female,Japan,noble
Redline,tt1483797,2009,Takuya Kimura,Male,Japan,mechanic
Godzilla: Final Wars,tt0399102,2004,Masahiro Matsuoka,Male,Japan,soldier
The Grudge 2,tt0433386,2006,Sarah Michelle Gellar,Female,Japan,social worker
Evangelion: 1.0 You Are (Not) Alone,tt0923811,2007,Megumi Ogata,Female,Japan,commander
Suicide Club,tt0312843,2001,Ryo Ishibashi,Male,Japan,detective
Tokyo Gore Police,tt1183732,2008,Eihi Shiina,Female,Japan,sniper
The Blind Swordsman: Zatoichi,tt0363226,2003,Takeshi Kitano,Male,Japan,geisha
The Ramen Girl,tt0806165,2008,Brittany Murphy,Female,Japan,chef
All About Lily Chou-Chou,tt0297721,2001,Hayato Ichihara,Male,Japan,grade
Silk,tt0494834,2007,Sei Ashina,Female,Japan,servant
Sword of the Stranger,tt1121794,2007,Tomoya Nagase,Male,Japan,warrior
Azumi,tt0384819,2003,Aya Ueto,Female,Japan,master
A Snake of June,tt0330904,2002,Asuka Kurosawa,Female,Japan,career
Strange Circus,tt0492784,2005,Masumi Miyazaki,Female,Japan,assistant
Snakes and Earrings,tt1254249,2008,Yuriko Yoshitaka,Female,Japan,tattoo artist
Ghost in the Shell 2.0,tt1260502,2008,Atsuko Tanaka,Female,Japan,leader
Appleseed,tt0401233,2004,Ai Kobayashi,Female,Japan,soldier
Noriko's Dinner Table,tt0468820,2005,Kazue Fukiishi,Female,Japan,leader
Ju-On: The Grudge 2,tt0367913,2003,Noriko Sakai,Female,Japan,actress
Shinobi: Heart Under Blade,tt0475723,2005,Yukie Nakama,Female,Japan,ninja
Ichi,tt1060256,2008,Haruka Ayase,Female,Japan,samurai
Naruto the Movie 2: Legend of the Stone of Gelel,tt0791188,2005,Junko Takeuchi,Female,Japan,knight
InuYasha the Movie 2: The Castle Beyond the Looking Glass,tt0366621,2002,Kappei Yamaguchi,Male,Japan,servant
Dead Leaves,tt0439533,2004,Kappei Yamaguchi,Male,Japan,labor
Reincarnation,tt0456630,2005,Yûka,Male,Japan,actress
Vampire Girl vs. Frankenstein Girl,tt1425928,2009,Yukie Kawamura,Female,Japan,leader
Suspect X,tt1160629,2008,Masaharu Fukuyama,Male,Japan,detective
Crows Zero,tt1016290,2007,Shun Oguri,Male,Japan,senior
Infection,tt0418778,2004,Michiko Hada,Female,Japan,dr.
The House of Small Cubes,tt1361566,2008,Masami Nagasawa,Female,Japan,narrator
Returner,tt0339579,2002,Takeshi Kaneshiro,Male,Japan,hitman
Animal Crossing: The Movie,tt1190545,2006,Yui Horie,Female,Japan,career
Azumi 2: Death or Love,tt0431641,2005,Aya Ueto,Female,Japan,leader
Hula Girls,tt0768116,2006,Yasuko Matsuyuki,Female,Japan,instructor
Café Lumière,tt0412596,2003,Yo Hitoto,Female,Japan,composer
Vexille,tt0970472,2007,Meisa Kuroki,Female,Japan,agent
Achille et la tortue,tt1217243,2008,Takeshi Kitano,Male,Japan,painter
InuYasha the Movie 3: Swords of an Honorable Ruler,tt0396659,2003,Kappei Yamaguchi,Male,Japan,master
Takeshis',tt0478044,2005,Takeshi Kitano,Male,Japan,actor
A Gentle Breeze in the Village,tt0997184,2007,Kaho,Female,Japan,senior
Samurai Princess,tt1412334,2009,Aino Kishi,Female,Japan,samurai
Kamen Rider Decade: All Riders vs. Dai-Shocker,tt1476252,2009,Masahiro Inoue,Male,Japan,rider
Loft,tt0443231,2005,Miki Nakatani,Female,Japan,writer
H Story,tt0285166,2001,Béatrice Dalle,Female,Japan,actress
Kikareta onna no mirareta yoru,tt1236242,2006,Sora Aoi,Female,Japan,reporter
Inuyasha the Movie 4: Fire on the Mystic Island,tt0473658,2004,Kappei Yamaguchi,Male,Japan,companion
Detective Conan: The Private Eyes' Requiem,tt0498536,2006,Minami Takayama,Female,Japan,detective
Death Trance,tt0443737,2005,Tak Sakaguchi,Male,Japan,hunter
Franz Kafka's a Country Doctor,tt1118665,2007,Sensaku Shigeyama,Male,Japan,doctor
Patlabor 3,tt0318819,2001,Katsuhiko Watabiki,Male,Japan,detective
Kamen Rider 555: Paradise Lost,tt2139913,2003,Kento Handa,Male,Japan,rider
Ghost Train,tt0819839,2006,Erika Sawajiri,Female,Japan,conductor
Agitator,tt0305240,2001,Taisaku Akino,Male,Japan,leader
Tombstone of the Fireflies,tt1250968,2008,Reo Yoshitake,Male,Japan,officer
Don't Laugh at My Romance,tt0945550,2007,Hiromi Nagasaku,Female,Japan,teacher
Shaolin Girl,tt1133594,2008,Ko Shibasaki,Female,Japan,restaurant
Violent Fire,tt0352465,2002,Riki Takeuchi,Male,Japan,chairman
Miss Lady Professor,tt2447110,2006,Akari Hoshino,Female,Japan,teacher
Kisaragi,tt1158278,2007,Shun Oguri,Male,Japan,leader
Sway,tt0809535,2006,Joe Odagiri,Male,Japan,fashion photographer
Glasses,tt1016307,2007,Satomi Kobayashi,Female,Japan,career
The Adventures of Super Monkey,tt0938281,2007,Shingo Katori,Male,Japan,king
Chaos,tt0295362,2000,Jun Kunimura,Male,Japan,inspector
Kamen Rider: The First,tt0471223,2005,Masaya Kikawada,Male,Japan,rider
Happy Flight,tt1156447,2008,Seiichi Tanabe,Male,Japan,attendant
