title,id,release_year,main_character_name,main_character_gender,country,main_character_role
Crazy Moon,tt0090882,1987,Kiefer Sutherland,Male,Canada,clerk
The Old Man and the Sea,tt0207639,1999,Gordon Pinsent,Male,Canada,apprentice
Zero Patience,tt0108649,1993,John Robinson,Male,Canada,sexologist
The Blood of Others,tt0088038,1984,Jodie Foster,Female,Canada,designer
Painted Angels,tt0130928,1998,Brenda Fricker,Female,Canada,madam
Nowhere to Hide,tt0093654,1987,Amy Madigan,Female,Canada,cutter
Beauty,tt0171092,1998,Janine Turner,Female,Canada,miller
Apology,tt0090653,1986,Lesley Ann Warren,Female,Canada,artist
Blue Planet,tt0099158,1990,James Buchli,Male,Canada,narrator
Family of Strangers,tt0106865,1993,Melissa Gilbert,Female,Canada,researcher
Getting Married in Buffalo Jump,tt0099649,1990,Wendy Crewson,Female,Canada,musician
Madeline: Lost in Paris,tt0272183,1999,Lauren Bacall,Female,Canada,actor
Jungle Boy,tt0116727,1998,David Fox,Male,Canada,professor
Ultimate Desires,tt0105678,1991,Tracy Scoggins,Female,Canada,prostitute
Dave Thomas: The Incredible Time Travels of Henry Osgood,tt2005191,1986,Dave Thomas,Male,Canada,professor
Heartbreak High,tt0081001,1981,John Vernon,Male,Canada,coach
Voyage of Terror,tt0155716,1998,Lindsay Wagner,Female,Canada,dr.
Glory! Glory!,tt0097442,1989,Ellen Greene,Female,Canada,singer
Martyrs,tt1029234,2008,Morjana Alaoui,Female,Canada,assistant
Orphan,tt1148204,2009,Vera Farmiga,Female,Canada,therapist
She's the Man,tt0454945,2006,Amanda Bynes,Female,Canada,player
Enter the Void,tt1191111,2009,Paz de la Huerta,Female,Canada,buddhist
Case 39,tt0795351,2009,Renée Zellweger,Female,Canada,social worker
Camp Hollywood,tt0439489,2004,Steve Markle,Male,Canada,filmmaker
Resident Evil: Apocalypse,tt0318627,2004,Milla Jovovich,Female,Canada,activist
A Cinderella Story,tt0356470,2004,Hilary Duff,Female,Canada,cheerleader
Just Friends,tt0433400,2005,Ryan Reynolds,Male,Canada,senior
The Day the Earth Stood Still,tt0970416,2008,Keanu Reeves,Male,Canada,mountaineer
Shattered Glass,tt0323944,2003,Hayden Christensen,Male,Canada,editor
Elektra,tt0357277,2005,Jennifer Garner,Female,Canada,master
"I Love You, Beth Cooper",tt1032815,2009,Hayden Panettiere,Female,Canada,army soldier
Underworld: Evolution,tt0401855,2006,Kate Beckinsale,Female,Canada,warrior
The Snow Walker,tt0337721,2003,Barry Pepper,Male,Canada,queen
Passengers,tt0449487,2008,Anne Hathaway,Female,Canada,attendant
Gothika,tt0348836,2003,Halle Berry,Female,Canada,psychiatrist
Saved!,tt0332375,2004,Jena Malone,Female,Canada,senior
I'm Not There,tt0368794,2007,Cate Blanchett,Female,Canada,poet
Tideland,tt0410764,2005,Jodelle Ferland,Female,Canada,passenger
Street Fighter: The Legend of Chun-Li,tt0891592,2009,Kristin Kreuk,Female,Canada,pianist
Josie and the Pussycats,tt0236348,2001,Rachael Leigh Cook,Female,Canada,guitarist
The Painted Veil,tt0446755,2006,Catherine An,Female,Canada,hostess
Postal,tt0486640,2007,Zack Ward,Male,Canada,barista
The Skulls,tt0192614,2000,Joshua Jackson,Male,Canada,lawyer
Pontypool,tt1226681,2008,Stephen McHattie,Male,Canada,announcer
Away from Her,tt0491747,2006,Gordon Pinsent,Male,Canada,professor
Scooby-Doo! The Mystery Begins,tt1258157,2009,Kate Melton,Female,Canada,librarian
Peter Pan 2: Return to Never Land,tt0280030,2002,Harriet Owen,Female,Canada,tinker
The Cheetah Girls,tt0338852,2003,Raven-Symoné,Female,Canada,songwriter
Polytechnique,tt1194238,2009,Maxim Gaudette,Male,Canada,lecturer
Beowulf & Grendel,tt0402057,2005,Hringur Ingvarsson,Male,Canada,king
Rampage,tt1337057,2009,Brendan Fletcher,Male,Canada,mechanic
I Do (But I Don't),tt0420683,2004,Denise Richards,Female,Canada,planner
Amelia,tt1129445,2009,Hilary Swank,Female,Canada,navigator
Cadet Kelly,tt0294425,2002,Hilary Duff,Female,Canada,commandant
The Color of Friendship,tt0213565,2000,Lindsey Haun,Female,Canada,manor
Kit Kittredge: An American Girl,tt0846308,2008,Abigail Breslin,Female,Canada,reporter
My Nanny's Secret,tt1328633,2009,Haylie Duff,Female,Canada,dealer
Head in the Clouds,tt0338097,2004,Charlize Theron,Female,Canada,teller
Poison Ivy: The Secret Society,tt1131749,2008,Miriam McDonald,Female,Canada,professor
Ginger Snaps 2: Unleashed,tt0353489,2004,Emily Perkins,Female,Canada,director
New in Town,tt1095174,2009,Renée Zellweger,Female,Canada,consultant
Trailer Park Boys: The Movie,tt0425601,2006,Robb Wells,Male,Canada,instructor
Tamara,tt0401815,2005,Jenna Dewan,Female,Canada,teacher
